报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),44839,49927,49441,46847,47359,47104,27379,15094,
营业收入(万元),44839,49927,49441,46847,47359,47104,27379,15094,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),37421,32549,26066,23594,20038,14178,8821,5585,
营业成本(万元),7802,4334,3554,2316,1714,1254,688,385,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),9637,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),362,197,344,431,925,1609,950,615,
销售费用(万元),11763,10490,5644,6652,7272,5048,3799,2830,
管理费用(万元),7871,18337,15867,15240,10788,7057,4033,1654,
财务费用(万元),-796,-1485,-1327,-1195,-1412,-810,-507,-43,
资产减值损失(万元),782,677,1984,150,752,19,-142,144,
公允价值变动收益(万元),-266,-776,82,--,--,--,--,--,
投资收益(万元),5658,2679,333,--,-75,-140,-6,--,
对联营企业和合营企业的投资收益(万元),-419,-202,-59,--,-75,-140,-6,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),13213,19660,23790,23253,27246,32785,18552,9509,
营业外收入(万元),0,48,3027,1331,2735,787,147,15,
营业外支出(万元),5,150,146,31,--,2,10,--,
非流动资产处置损失(万元),--,--,--,1,--,2,--,--,
利润总额(万元),13208,19558,26671,24553,29981,33571,18689,9523,
所得税费用(万元),1064,3447,1605,3148,2667,3177,2149,-13,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),12144,16111,25065,21405,27314,30393,16540,9537,
归属于母公司所有者的净利润(万元),12967,16451,25609,21750,27325,30393,16540,9537,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),-823,-341,-544,-344,-11,--,--,--,
基本每股收益,0.54,0.69,1.35,1.21,1.52,1.69,0.92,--,
稀释每股收益,0.54,0.69,1.35,1.21,1.52,1.69,0.92,--,
