报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
营业总收入(万元),279,1359,2128,500,83,0,0,0,--,
营业收入(万元),279,1359,2128,500,83,0,0,0,--,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),261,1176,939,163,36,402,472,7140,392,
营业成本(万元),130,1023,840,158,38,0,0,0,--,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2,5,12,2,0,--,--,--,--,
销售费用(万元),0,2,--,--,--,--,--,--,--,
管理费用(万元),129,146,89,22,6,160,147,60,156,
财务费用(万元),-0,-1,-2,-4,16,324,324,324,324,
资产减值损失(万元),--,--,--,-15,-24,-82,1,6756,-88,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),11,50,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),29,233,1189,336,46,-402,-472,-7140,-392,
营业外收入(万元),19,52,0,79317,196,--,--,33,--,
营业外支出(万元),--,--,--,117,87,1292,1302,1302,1319,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,
利润总额(万元),48,285,1189,79536,155,-1694,-1774,-8409,-1711,
所得税费用(万元),9,78,296,97,9,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),39,207,893,79439,146,-1694,-1774,-8409,-1711,
归属于母公司所有者的净利润(万元),39,207,864,79343,134,-1694,-1774,-8409,-1711,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,29,96,12,--,--,--,--,
基本每股收益,0,0.01,0.03,2.78,0,-0.04,-0.05,-0.22,-0.04,
稀释每股收益,0,0.01,0.03,2.78,0,-0.04,-0.05,-0.22,-0.04,
