报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),84499,105453,77424,61972,38064,22873,10211,
营业收入(万元),84499,105453,77424,61972,38064,22873,10211,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),71428,90323,62540,50276,28997,18085,8358,
营业成本(万元),59359,75471,53351,42720,23338,14191,6473,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),4451,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),420,754,793,1529,1197,723,325,
销售费用(万元),1134,2500,2338,1526,1281,1107,657,
管理费用(万元),2895,7953,4221,2871,2362,1591,665,
财务费用(万元),28,639,538,324,494,150,10,
资产减值损失(万元),3141,3007,1299,1307,325,322,228,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),613,51859,--,--,7,--,--,
对联营企业和合营企业的投资收益(万元),-200,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),15221,68031,14883,11696,9075,4788,1853,
营业外收入(万元),30,470,603,854,58,95,20,
营业外支出(万元),26,107,35,50,28,11,1,
非流动资产处置损失(万元),--,--,2,9,--,3,--,
利润总额(万元),15225,68394,15451,12501,9104,4872,1872,
所得税费用(万元),3326,16750,3798,3162,2273,1228,475,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),11900,51644,11653,9339,6831,3644,1397,
归属于母公司所有者的净利润(万元),11935,51645,11636,9336,6831,3643,1395,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,33,
少数股东损益(万元),-36,-1,18,3,0,0,2,
基本每股收益,0.89,6.46,1.62,1.3,1.11,0.61,0.23,
稀释每股收益,--,--,1.62,1.3,1.11,0.61,0.23,
