报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),269399,262083,247594,238971,243010,
营业收入(万元),269399,262083,247594,238971,243010,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),186564,175921,174971,144797,151439,
营业成本(万元),150998,139617,138312,120097,123517,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),5329,--,--,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),2157,2353,1119,466,2155,
销售费用(万元),5187,4283,3218,3583,3580,
管理费用(万元),17678,21363,20201,19428,20581,
财务费用(万元),-8952,1529,130,-1424,1726,
资产减值损失(万元),14167,6775,11990,2646,-121,
公允价值变动收益(万元),156,-1437,-1344,-458,-3335,
投资收益(万元),-10498,-465,14834,2062,4836,
对联营企业和合营企业的投资收益(万元),-3389,-1367,300,321,-661,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),75155,86137,86112,95778,93073,
营业外收入(万元),14000,54,3949,2256,2506,
营业外支出(万元),55,30,288,115,192,
非流动资产处置损失(万元),--,--,284,34,192,
利润总额(万元),89100,86161,89773,97919,95387,
所得税费用(万元),14553,13980,14247,14953,13618,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),74547,72181,75526,82967,81770,
归属于母公司所有者的净利润(万元),41826,38850,43260,51448,51293,
被合并方在合并前实现净利润(万元),--,--,--,--,--,
少数股东损益(万元),32721,33331,32266,31519,30476,
基本每股收益,0.12,0.11,0.12,0.14,0.14,
稀释每股收益,0.12,0.11,0.12,0.14,0.14,
