报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),818658,734588,635617,573269,541570,529826,472954,463082,
营业收入(万元),818658,734588,635617,573269,541570,529826,472954,463082,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),740831,674447,588230,528148,489927,481613,444824,422698,
营业成本(万元),511503,468698,397734,346941,326672,313627,280521,276473,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),1359,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),3698,3758,3227,1470,1249,2561,2386,3324,
销售费用(万元),101067,89252,80463,74370,68686,64938,66449,59811,
管理费用(万元),111534,107101,99634,97738,89839,92823,89319,80817,
财务费用(万元),-2441,-2436,-895,-491,-132,379,-888,-989,
资产减值损失(万元),5735,8075,8066,8121,3613,7285,7036,3262,
公允价值变动收益(万元),-3818,1,--,--,--,--,--,--,
投资收益(万元),12688,27215,6487,7590,4828,7641,23484,4458,
对联营企业和合营企业的投资收益(万元),2061,1029,983,874,-685,567,-467,35,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),93085,94167,53873,52711,56472,55854,51614,44842,
营业外收入(万元),1061,869,12102,10705,6199,4995,7131,7222,
营业外支出(万元),2554,3332,2404,1644,1401,1404,1539,1171,
非流动资产处置损失(万元),--,--,133,57,36,92,143,96,
利润总额(万元),91592,91704,63572,61771,61269,59445,57207,50893,
所得税费用(万元),-1080,56,568,279,119,45,138,131,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),92672,91648,63004,61492,61150,59400,57069,50762,
归属于母公司所有者的净利润(万元),93218,92384,64746,64727,63279,62288,62358,51680,
被合并方在合并前实现净利润(万元),--,--,--,-229,340,465,--,--,
少数股东损益(万元),-547,-736,-1742,-3235,-2129,-2888,-5289,-918,
基本每股收益,0.76,0.75,0.55,0.57,0.56,0.55,0.55,0.46,
稀释每股收益,--,--,0.55,--,--,--,--,--,
