报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),38287,27908,24776,23245,47567,80935,185165,163667,118276,60716,34933,27538,21985,14276,10706,
营业收入(万元),38287,27908,24776,23245,47567,80935,185165,163667,118276,60716,34933,27538,21985,14276,10706,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),39068,24843,24700,22086,58318,86616,184160,162815,115766,58209,33183,24451,19464,12912,10087,
营业成本(万元),30371,16254,16840,15166,45130,72085,175144,151603,108887,53765,30355,22501,17907,11812,9163,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1743,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),327,356,367,134,74,280,322,251,143,124,64,107,70,76,45,
销售费用(万元),1696,1484,1216,531,622,878,437,905,756,761,218,266,376,120,179,
管理费用(万元),4848,6622,6414,5513,7413,5503,4917,5563,3818,2579,1766,1267,971,793,662,
财务费用(万元),103,-67,-48,1120,4217,4340,3866,3963,2123,822,657,217,126,75,73,
资产减值损失(万元),-20,194,-89,-378,863,3531,-526,530,39,158,124,93,13,36,-36,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-325,410,588,--,543,--,--,--,57,-86,--,--,1,--,--,
对联营企业和合营企业的投资收益(万元),-510,--,--,--,--,--,--,--,57,-86,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-963,3956,665,1160,-10207,-5681,1005,852,2567,2421,1750,3087,2522,1364,620,
营业外收入(万元),382,1054,785,822,215,158,75,71,142,22,70,365,83,3,--,
营业外支出(万元),164,3,40,41,345,181,25,5,22,2,2,1,0,1,0,
非流动资产处置损失(万元),--,--,18,25,267,124,0,4,0,0,0,--,--,--,--,
利润总额(万元),-745,5006,1410,1940,-10338,-5704,1056,918,2686,2441,1818,3451,2605,1366,619,
所得税费用(万元),-310,520,-145,346,-2559,-114,445,429,359,400,311,510,461,177,91,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-434,4487,1555,1594,-7778,-5590,611,489,2327,2041,1507,2941,2144,1189,529,
归属于母公司所有者的净利润(万元),-704,3618,531,890,-8246,-5398,415,425,2100,2080,1489,2824,1935,880,501,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),269,868,1024,704,468,-193,195,64,227,-39,18,117,209,310,28,
基本每股收益,-0.03,0.14,0.02,0.06,-0.58,-0.39,0.03,0.03,0.17,0.17,0.25,0.6,0.43,0.44,0.25,
稀释每股收益,-0.03,0.14,0.02,0.06,-0.58,-0.39,0.03,0.03,0.17,0.17,0.25,0.6,0.43,0.44,0.25,
