报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),1151267,1330605,1277584,1160162,1050314,1138678,1000337,698136,313138,104506,66789,77435,71703,
营业收入(万元),1151267,1330605,1277584,1160162,1050314,1138678,1000337,698136,313138,104506,66789,77435,71703,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),1002168,1192504,1151980,1051041,967041,1072070,954019,672029,285422,110778,82477,79316,71156,
营业成本(万元),717651,849580,774047,745881,840503,962691,848883,569918,200338,102903,65856,72941,64951,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),83305,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),4809,4470,4125,2475,2679,3296,2796,3387,2345,19,85,55,58,
销售费用(万元),67829,108506,191093,170743,31163,25183,26932,25560,20279,902,1391,941,1123,
管理费用(万元),117757,202260,165298,115537,79956,74162,66891,62986,55387,1887,2505,1977,1864,
财务费用(万元),-6053,1754,-6777,-4993,-3107,-472,2412,2238,568,3498,5252,3345,2683,
资产减值损失(万元),16869,25935,24195,21399,15847,7210,6105,7940,6505,1570,7387,59,477,
公允价值变动收益(万元),-5369,-1259,-464,817,-542,9,--,--,--,18,-30,-3,--,
投资收益(万元),23079,11764,6309,7567,4495,1681,-1325,16759,2924,2,3,1594,-21,
对联营企业和合营企业的投资收益(万元),4368,2732,890,3422,902,146,171,139,135,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),176492,154537,131448,117504,87225,68298,44993,42866,30639,-6252,-15715,-290,526,
营业外收入(万元),5763,4576,14175,12211,15663,10481,20807,6403,6787,59,1,1545,604,
营业外支出(万元),10177,9259,8636,7695,7686,6537,13628,762,1113,85,91,10,2,
非流动资产处置损失(万元),--,--,51,78,66,1108,9869,37,79,30,--,0,--,
利润总额(万元),172078,149855,136987,122020,95203,72243,52171,48508,36313,-6278,-15806,1245,1128,
所得税费用(万元),9453,4650,8888,5824,4874,3526,251,210,195,2370,-1867,404,314,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),162625,145205,128099,116196,90329,68716,51920,48298,36118,-8648,-13939,841,814,
归属于母公司所有者的净利润(万元),161911,145174,129536,105796,80917,63719,50660,48303,35257,-8648,-13936,843,817,
被合并方在合并前实现净利润(万元),--,-34,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),714,31,-1437,10400,9413,4997,1260,-5,861,-0,-3,-2,-2,
基本每股收益,1.18,1.05,0.94,0.78,0.68,1,0.89,0.85,0.93,-0.46,-0.74,0.07,0.07,
稀释每股收益,1.18,1.05,0.94,0.78,0.68,1,0.89,0.85,0.93,-0.46,-0.74,0.07,0.07,
