报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),0,0,0,0,0,0,0,0,0,
营业收入(万元),0,0,0,0,0,0,0,0,0,
利息收入(万元),--,--,--,--,--,--,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,0,--,
营业总成本(万元),7117,6708,6210,5546,5396,5104,--,4321,8104,
营业成本(万元),0,--,0,0,0,0,--,0,0,
利息支出(万元),--,--,--,--,--,--,--,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,0,--,
研发费用(万元),--,--,--,--,--,--,--,0,--,
退保金(万元),--,--,--,--,--,--,--,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,0,--,
分保费用(万元),--,--,--,--,--,--,--,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,0,--,
营业税金及附加(万元),--,--,--,--,--,--,--,0,--,
销售费用(万元),--,--,--,--,--,--,--,0,--,
管理费用(万元),184,225,266,88,84,93,--,94,124,
财务费用(万元),6972,6484,5946,5458,5312,5011,--,4227,4163,
资产减值损失(万元),-39,-0,-2,--,--,--,--,0,3816,
公允价值变动收益(万元),--,--,--,--,--,--,--,0,--,
投资收益(万元),--,--,--,--,--,--,--,0,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,0,--,
汇兑收益(万元),--,--,--,--,--,--,--,0,--,
期货损益(万元),--,--,--,--,--,--,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,0,--,
营业利润(万元),-7117,-6708,-6210,-5546,-5396,-5104,-4654,-4321,-8104,
营业外收入(万元),--,--,--,--,--,--,--,0,--,
营业外支出(万元),--,--,--,--,--,0,--,0,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,0,--,
利润总额(万元),-7117,-6708,-6210,-5546,-5396,-5104,--,-4321,-8104,
所得税费用(万元),--,--,--,--,--,--,--,0,--,
未确认投资损失(万元),--,--,--,--,--,--,--,0,--,
净利润(万元),-7117,-6708,-6210,-5546,-5396,-5104,-4654,-4321,-8104,
归属于母公司所有者的净利润(万元),-7117,-6708,-6210,-5546,-5396,-5104,-4654,-4321,-8104,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,0,--,
少数股东损益(万元),--,--,--,--,--,--,--,0,--,
基本每股收益,-0.31,-0.29,-0.27,-0.24,-0.23,-0.22,--,-0.19,-0.35,
稀释每股收益,-0.31,-0.29,-0.27,-0.24,-0.23,-0.22,--,-0.19,-0.35,
