报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),295645,299336,224948,161393,157993,82925,55464,40806,26300,16552,14095,
营业收入(万元),295645,299336,224948,161393,157993,82925,55464,40806,26300,16552,14095,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),261519,271500,205040,142613,141617,73017,46546,34927,23223,15833,13484,
营业成本(万元),180934,213947,162426,107251,111456,55222,36301,27478,17369,11790,10602,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),10759,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1486,1361,1753,3115,4170,1898,1077,969,665,353,162,
销售费用(万元),17636,19631,18395,15239,10713,6577,4368,2676,2119,1135,1012,
管理费用(万元),28527,23369,18695,12098,10398,7763,4227,3460,2512,2102,1463,
财务费用(万元),16965,11543,3221,4527,4092,1264,305,250,539,411,261,
资产减值损失(万元),5213,1648,549,384,789,294,267,94,20,42,-16,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),48,585,-333,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),48,279,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),40832,30899,19575,18781,16376,9908,8918,5879,3077,720,611,
营业外收入(万元),1468,97,2840,2108,1789,1191,1637,1984,1330,485,846,
营业外支出(万元),296,233,13,3007,170,11,300,1,--,--,4,
非流动资产处置损失(万元),--,--,5,6,8,11,0,--,--,--,3,
利润总额(万元),42004,30763,22402,17882,17995,11088,10254,7862,4407,1204,1454,
所得税费用(万元),6228,3344,2958,3000,2408,1153,1185,1059,553,122,72,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),35776,27419,19444,14882,15587,9935,9070,6803,3854,1082,1382,
归属于母公司所有者的净利润(万元),30245,20112,14111,12492,14367,9429,8789,6552,3803,1108,1382,
被合并方在合并前实现净利润(万元),--,--,-106,--,--,--,--,--,--,--,--,
少数股东损益(万元),5531,7307,5333,2390,1220,506,280,251,50,-26,--,
基本每股收益,0.73,0.54,0.38,0.37,0.45,0.35,0.66,1.07,0.76,0.22,0.28,
稀释每股收益,0.67,0.54,0.38,0.37,0.45,0.35,0.66,1.07,0.76,0.22,0.28,
