报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,
营业总收入(万元),59858800,53704100,50601600,53616800,52085800,46262500,42196400,37773100,29041800,22227400,21118900,17923700,8715400,5549500,6375500,5629400,4825400,4368100,
营业收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
利息收入(万元),78472400,71369900,65719000,72579300,69928900,61338400,56606300,47292100,35766000,29614700,31569700,24331700,15090600,10513300,10186500,9293200,8480800,8308100,
已赚保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
手续费及佣金收入(万元),9152500,8525700,10081900,9049400,8788300,8969700,7857300,7152400,4814400,3728500,2479400,2392100,1394700,961300,717200,351000,233900,182000,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
其他业务收入(万元),1887500,2310500,1199800,850600,418100,125500,100400,82600,78100,75500,46600,80400,199300,261800,183700,184900,103800,63700,
营业总成本(万元),34837200,30168300,28142100,30329700,28991400,24961300,23499300,22099300,17098800,14853200,15911800,10179000,9011900,6643800,6453200,5923500,4917500,4968900,
营业成本(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
利息支出(万元),30696400,27176900,25908600,28965300,26939800,23718200,22418400,16572200,11550800,11450800,12185200,8585200,7884600,6140200,4675200,4159700,3958500,4149000,
手续费及佣金支出(万元),1338400,1235400,988400,794500,776000,652600,372900,277400,201600,164500,99600,92600,54900,46700,36700,40000,34600,36800,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
其他业务成本(万元),1894400,2155400,851300,1160700,1307100,145700,25400,--,--,0,0,0,29700,160200,106700,1578500,1009500,1122400,
营业税金及附加(万元),533000,495300,1144900,2907500,2888000,2722600,2537400,2120700,1550500,1256700,1322300,1114000,844300,625000,556700,484300,506600,575600,
销售费用(万元),18720000,17701000,17501300,17844300,17999200,16794000,15513000,13556100,11207100,9582300,9441700,6007600,8167600,5858600,5789800,3860700,3401400,3270900,
管理费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
财务费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
资产减值损失(万元),--,9816600,8644600,8417200,6797100,5299000,5423500,6422500,4341200,4014200,5147800,3057400,0,--,0,0,0,0,
公允价值变动收益(万元),512000,-1819600,713700,528500,186100,-208400,280200,40900,72000,327100,-864800,59000,0,--,0,0,0,0,
投资收益(万元),1793100,627800,-206000,84600,188700,376900,-4800,-213900,-108500,-90800,464100,116900,2828200,2328200,1418600,1042300,753200,714800,
对联营企业和合营企业的投资收益(万元),-2200,1400,-900,1500,--,30900,1700,9600,--,0,-1400,0,0,--,0,0,0,0,
汇兑收益(万元),76100,1102100,-9800,284200,291500,31200,148300,268600,172200,187700,-291300,-378600,0,--,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
营业利润(万元),25021600,23535800,22459500,23287100,23094400,21301200,18697100,15673800,11943000,7374200,5207100,7744700,-296500,-1094300,-77700,-294100,-92100,-600900,
营业外收入(万元),394700,587100,410300,467900,326800,314600,300000,202500,183500,136300,281300,421400,200000,190100,144800,139700,73900,83200,
营业外支出(万元),248900,175100,207400,669300,195500,198400,204400,56200,53100,117700,253500,340400,1513000,695900,641600,693700,443300,81900,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
利润总额(万元),25167400,23947800,22662400,23085700,23225700,21417400,18792700,15820100,12073400,7392800,5234900,7825700,1218700,787800,844100,194200,291700,115200,
所得税费用(万元),4904300,4634500,4256400,5008300,5274700,4796300,4279600,3624500,2582700,892600,89600,3447000,638000,683400,643800,2000,2000,0,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
净利润(万元),20263100,19313300,18406000,18077400,17951000,16621100,14513100,12195600,9490700,6500200,5145300,4378700,580700,104400,200300,192200,289700,115200,
归属于母公司所有者的净利润(万元),20278300,19296200,18394100,18058200,17946100,16631500,14509400,12192700,9487300,6499200,5147400,4378700,580700,104400,200300,192200,289700,115200,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,
少数股东损益(万元),-15200,17100,11900,19200,4900,-10400,3700,2900,3400,1000,-2100,0,0,--,0,0,0,0,
基本每股收益,0.59,0.58,0.55,0.55,0.55,0.51,0.45,0.38,0.33,0.25,0,0,0,--,0,0,0,0,
稀释每股收益,0.59,0.58,0.55,0.55,0.55,0.51,0.45,0.38,0.33,0,0,0,0,--,0,0,0,0,
