报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),86414,69045,52743,44982,36571,29684,29422,25312,
营业收入(万元),86414,69045,52743,44982,36571,29684,29422,25312,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),73405,57534,44138,37578,30386,25068,23660,20399,
营业成本(万元),49519,39173,29567,25582,19741,15024,14980,13712,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),4484,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),729,626,444,301,248,520,688,577,
销售费用(万元),8059,6478,5637,4119,3610,3369,2701,2156,
管理费用(万元),9587,10082,8425,7264,6134,5645,4804,3558,
财务费用(万元),-637,-300,-376,-172,-48,57,82,73,
资产减值损失(万元),1665,1475,441,484,701,453,405,323,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),--,-98,-172,-207,115,611,-64,41,
对联营企业和合营企业的投资收益(万元),--,-90,-172,-207,115,-89,-64,-110,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),14862,12073,8434,7196,6300,5226,5698,4954,
营业外收入(万元),538,24,1045,364,491,511,222,260,
营业外支出(万元),42,61,100,3,--,10,121,31,
非流动资产处置损失(万元),--,--,--,1,--,0,26,2,
利润总额(万元),15358,12036,9379,7557,6791,5727,5798,5182,
所得税费用(万元),2111,1457,945,1239,883,374,984,926,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),13247,10579,8434,6318,5908,5353,4815,4256,
归属于母公司所有者的净利润(万元),11870,9080,7727,5722,5577,5410,4500,4317,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),1377,1500,707,595,331,-56,315,-61,
基本每股收益,0.69,0.57,0.97,0.95,0.93,0.9,0.75,0.72,
稀释每股收益,0.69,0.57,0.97,0.95,0.93,0.9,0.75,0.72,
