报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),65094,79826,53969,40356,28845,22459,18500,
营业收入(万元),65094,79826,53969,40356,28845,22459,18500,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),64128,71170,49432,37647,26287,21254,17072,
营业成本(万元),50458,57884,41965,30958,20499,16599,12741,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),3939,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),184,329,321,615,457,255,289,
销售费用(万元),3557,3328,2369,1760,1405,1020,963,
管理费用(万元),4766,6176,3487,3778,3340,3171,3039,
财务费用(万元),-461,-142,-186,21,29,14,54,
资产减值损失(万元),1685,3595,1476,513,557,196,-14,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,-63,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,-55,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),2263,9300,4537,2709,2558,1205,1365,
营业外收入(万元),2,4,331,516,232,684,411,
营业外支出(万元),12,15,1,1,1,0,1,
非流动资产处置损失(万元),--,--,1,1,0,0,1,
利润总额(万元),2253,9288,4867,3224,2790,1889,1775,
所得税费用(万元),217,1203,565,308,336,195,195,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),2036,8086,4302,2916,2454,1693,1580,
归属于母公司所有者的净利润(万元),2245,8067,4260,2842,2454,1693,1580,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),-209,19,42,74,--,--,-1,
基本每股收益,0.14,0.81,0.57,0.38,0.33,0.23,0.21,
稀释每股收益,0.14,0.81,0.57,0.38,0.33,0.23,0.21,
