报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),46041,35319,23781,24111,
营业收入(万元),46041,35319,23781,24111,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),34884,27842,18532,19480,
营业成本(万元),27960,20765,13479,12982,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),2920,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),501,340,201,162,
销售费用(万元),1618,1466,1131,1121,
管理费用(万元),2349,4687,4097,5490,
财务费用(万元),-464,540,-502,-362,
资产减值损失(万元),--,44,127,87,
公允价值变动收益(万元),-20,--,--,--,
投资收益(万元),36,242,19,73,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),12212,8371,5267,4703,
营业外收入(万元),2,43,480,982,
营业外支出(万元),5,3,56,115,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),12209,8411,5692,5570,
所得税费用(万元),1600,1030,804,897,
未确认投资损失(万元),--,--,--,--,
净利润(万元),10609,7382,4888,4673,
归属于母公司所有者的净利润(万元),9916,6738,4446,4243,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),693,644,442,430,
基本每股收益,1.32,0.9,0.59,0.57,
稀释每股收益,1.32,0.9,0.59,0.57,
