报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),761279,688954,652581,732938,764556,776057,734947,718451,582485,463110,323237,280511,203504,167890,150362,
营业收入(万元),761279,688954,652581,732938,764556,776057,734947,718451,582485,463110,323237,280511,203504,167890,150362,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业总成本(万元),735576,671443,639564,707561,740865,749781,710092,689329,560145,441041,306144,266497,192764,159229,142351,
营业成本(万元),634609,569739,529399,591485,624865,625369,590902,581073,468049,367066,252483,217017,157700,130862,117982,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业税金及附加(万元),9168,8895,8717,10474,10493,11826,9747,8981,6412,5022,3947,3579,2528,2048,1663,
销售费用(万元),83039,82721,90386,93128,93724,99361,95077,82566,70273,52929,40018,36353,21185,17748,14762,
管理费用(万元),9217,8449,9360,9816,10919,11796,12404,14448,13229,14128,9084,8672,10727,7936,7221,
财务费用(万元),-386,1151,1627,2296,763,983,1900,2416,2164,1730,623,905,539,491,658,
资产减值损失(万元),-72,488,74,362,103,447,61,-156,19,167,-11,-30,85,145,64,
公允价值变动收益(万元),-951,516,-695,-1042,1921,541,-1284,-131,--,--,--,0,0,0,0,
投资收益(万元),2201,4645,4290,6537,4285,299,754,-404,291,217,2405,630,86,-199,-469,
对联营企业和合营企业的投资收益(万元),-695,247,299,642,704,54,--,--,32,93,--,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业利润(万元),27043,22845,16612,30873,29897,27116,24326,28587,22630,22286,19498,14645,10827,8462,7541,
营业外收入(万元),215,157,4808,2871,1325,1040,1314,736,1127,250,325,467,313,309,36,
营业外支出(万元),204,499,333,33,200,189,227,349,246,108,427,44,647,58,1342,
非流动资产处置损失(万元),--,--,22,33,106,102,177,10,66,24,--,0,0,0,0,
利润总额(万元),27055,22503,21087,33710,31021,27967,25413,28974,23512,22428,19396,15068,10493,8713,6235,
所得税费用(万元),6812,7225,6199,9214,7733,7181,6262,7459,6099,5810,4855,3782,3170,2816,2125,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
净利润(万元),20243,15278,14888,24496,23288,20787,19151,21514,17413,16618,14541,11286,7323,5896,4111,
归属于母公司所有者的净利润(万元),20109,17387,15765,25064,23824,22214,19279,21362,17387,16552,14203,10974,7207,5911,4091,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),134,-2109,-877,-567,-535,-1427,-128,152,26,66,338,312,115,-14,19,
基本每股收益,0.59,0.51,0.46,0.73,0.7,0.65,0.56,0.77,1.03,0.98,0.89,0.89,0.6,0.49,0.34,
稀释每股收益,0.59,0.51,0.46,0.73,0.7,0.65,0.56,0.77,1.03,0.98,0.89,0.89,0.6,0.49,0.34,
