报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),1240408,1687634,2467053,1267058,761585,593751,444540,200269,162514,237900,141955,416267,137633,
营业收入(万元),500730,838480,1862157,944049,606247,593751,444540,200269,162514,237900,141955,416267,137633,
利息收入(万元),-4911,29358,41557,35020,22486,--,--,--,--,--,--,--,0,
已赚保费(万元),327581,292130,244799,19844,--,--,--,--,--,--,--,--,0,
手续费及佣金收入(万元),296951,340868,274311,208171,107066,--,--,--,--,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
营业总成本(万元),1377839,1482567,2185267,1012485,582798,440872,349780,166593,146117,178463,111861,314320,105916,
营业成本(万元),248211,518736,1089448,489380,263549,267289,191941,97514,86636,127454,75707,244605,91679,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
手续费及佣金支出(万元),73696,52263,39941,1816,--,--,--,--,--,--,--,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
赔付支出净额(万元),180468,151955,137971,--,--,--,--,--,--,--,--,--,0,
提取保险合同准备金净额(万元),-22243,7011,18594,-1046,--,--,--,--,--,--,--,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
分保费用(万元),1542,864,682,--,--,--,--,--,--,--,--,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
营业税金及附加(万元),87312,87379,270760,156567,123685,107351,90617,38686,22281,32521,20726,53430,8597,
销售费用(万元),17568,16685,34178,39599,25148,19952,13803,9459,6177,7256,5457,8637,1940,
管理费用(万元),396100,415406,372310,191483,131390,32185,23108,16246,14594,11238,9439,7867,2402,
财务费用(万元),232011,228832,217164,118898,34450,10407,29016,3899,7374,-68,-68,-194,346,
资产减值损失(万元),168086,8494,8294,-1085,4576,3688,1295,790,9055,62,599,-25,952,
公允价值变动收益(万元),28883,46541,85290,28596,48356,2767,1668,173,284,425,-568,--,271,
投资收益(万元),102601,123704,-6447,33639,943,--,-162,--,--,--,4,-348,4289,
对联营企业和合营企业的投资收益(万元),114273,61153,-80,9126,-1210,--,--,--,--,--,--,--,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
营业利润(万元),20837,375812,360630,316808,228086,155646,96266,33849,16680,59862,29529,101599,36277,
营业外收入(万元),126352,30713,66082,2968,1996,1134,537,526,4607,302,461,186,1187,
营业外支出(万元),12541,1642,949,364,197,43,146,23,127,1389,398,168,382,
非流动资产处置损失(万元),--,--,102,90,111,8,4,2,-2,14,5,0,3,
利润总额(万元),134648,404883,425762,319413,229886,156736,96657,34352,21160,58775,29592,101617,37082,
所得税费用(万元),31338,95624,120065,82767,63459,38833,18852,9804,9211,19735,8702,36546,12031,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
净利润(万元),103310,309260,305697,236646,166427,117903,77805,24547,11949,39040,20890,65071,25051,
归属于母公司所有者的净利润(万元),93084,289132,310910,202017,155869,118121,78208,25779,12284,40284,21064,65319,25071,
被合并方在合并前实现净利润(万元),--,--,8404,-194,16155,--,--,--,--,--,--,--,-1076,
少数股东损益(万元),10226,20128,-5214,34628,10558,-217,-403,-1231,-336,-1244,-174,-248,-21,
基本每股收益,0.18,0.56,0.6,0.44,0.34,0.26,0.17,0.06,0.05,0.18,0.09,0.87,0.17,
稀释每股收益,0.18,0.56,0.6,0.44,0.34,0.26,0.17,0.06,0.05,0.18,0.09,0.85,0.17,
