报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2009-12-31,
营业总收入(万元),331,399,358,391,351,383,357,430,2923,
营业收入(万元),331,399,358,391,351,383,357,430,2923,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),6243,6309,6336,6360,6354,6416,6526,6910,10036,
营业成本(万元),169,173,179,187,192,195,183,278,2464,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),13,--,--,--,--,--,0,1,1,
销售费用(万元),--,--,--,--,--,--,8,62,223,
管理费用(万元),380,457,479,496,493,546,660,889,1263,
财务费用(万元),5679,5679,5678,5677,5675,5674,5674,5682,5721,
资产减值损失(万元),3,--,--,-0,-6,1,1,-1,363,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,23,--,10,200,125,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),-5912,-5855,-5978,-5969,-5981,-6032,-6159,-6280,-6988,
营业外收入(万元),--,8,--,1,2,--,--,2347,196,
营业外支出(万元),--,0,0,1,0,0,0,230,172,
非流动资产处置损失(万元),--,--,--,--,--,--,--,2,141,
利润总额(万元),-5912,-5847,-5978,-5969,-5979,-6032,-6159,-4164,-6964,
所得税费用(万元),--,--,--,--,--,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),-5912,-5847,-5978,-5969,-5979,-6032,-6159,-4164,-6964,
归属于母公司所有者的净利润(万元),-5906,-5844,-5973,-5968,-5982,-6030,-6153,-4132,-6864,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-6,-3,-5,-0,3,-2,-6,-32,-100,
基本每股收益,-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.14,-0.24,
稀释每股收益,-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.14,-0.24,
