报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),198673,154739,116600,101354,107947,72977,62373,41528,26456,15544,
营业收入(万元),198673,154739,116600,101354,107947,72977,62373,41528,26456,15544,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),172529,145040,99601,87718,90505,60115,50827,35103,21117,13629,
营业成本(万元),122879,98583,76089,67990,71700,46895,39649,27751,16213,10657,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),8920,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1370,886,609,619,835,426,472,307,69,37,
销售费用(万元),27326,17694,11846,10204,9943,6483,5335,3387,2625,1501,
管理费用(万元),11818,19000,12982,10729,8264,5645,4875,3568,2045,1419,
财务费用(万元),-2787,3525,-3672,-2612,-646,239,-131,-157,26,5,
资产减值损失(万元),3002,5351,1748,788,409,428,626,246,139,10,
公允价值变动收益(万元),--,0,82,--,--,--,--,--,--,--,
投资收益(万元),148,109,166,739,384,5,--,--,6,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),27372,11204,17247,14375,17826,12867,11546,6425,5346,1915,
营业外收入(万元),23,586,1026,663,458,492,163,109,106,45,
营业外支出(万元),66,25,375,379,47,3,1,19,174,41,
非流动资产处置损失(万元),--,--,253,92,46,3,1,1,0,--,
利润总额(万元),27330,11765,17899,14659,18236,13356,11708,6516,5277,1919,
所得税费用(万元),3809,1334,2554,1914,2352,1925,1589,724,553,194,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),23521,10432,15344,12745,15884,11431,10118,5792,4724,1725,
归属于母公司所有者的净利润(万元),24062,10600,15135,12553,15884,11431,10118,5792,4724,1725,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-542,-169,209,192,--,--,--,--,--,--,
基本每股收益,0.76,0.33,0.48,0.8,2.28,1.81,1.6,0.92,0.79,--,
稀释每股收益,0.75,0.33,0.48,0.8,2.28,1.81,1.6,0.92,0.79,--,
