报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),375007,312980,288751,248922,220040,202386,210330,169650,
营业收入(万元),375007,312980,288751,248922,220040,202386,210330,169650,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),229786,201523,182336,155082,145734,136210,145739,120822,
营业成本(万元),171761,160872,150405,125093,115543,109556,117191,96320,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),16076,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),4104,3322,3254,3114,2778,2296,1953,1487,
销售费用(万元),6003,4872,4798,4452,4571,3890,3925,3913,
管理费用(万元),29038,29417,24740,22760,20409,16135,19548,16589,
财务费用(万元),1731,1797,-556,-2333,-33,1963,2127,2103,
资产减值损失(万元),1072,1243,-306,1996,2467,2370,996,410,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),3217,8754,10571,4838,451,25,--,3,
对联营企业和合营企业的投资收益(万元),36,144,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),154539,125805,116985,98679,74757,66202,64591,48831,
营业外收入(万元),818,991,6519,4822,1785,1493,699,798,
营业外支出(万元),36,148,148,688,179,600,305,297,
非流动资产处置损失(万元),--,--,12,267,2,24,--,40,
利润总额(万元),155321,126648,123356,102813,76363,67094,64985,49332,
所得税费用(万元),22958,18064,17372,15236,11360,10311,9499,7566,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),132362,108583,105983,87576,65003,56782,55486,41766,
归属于母公司所有者的净利润(万元),131873,108344,105919,87364,64827,56629,55189,41369,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,406,659,
少数股东损益(万元),489,239,65,212,176,153,297,396,
基本每股收益,0.76,0.63,0.62,1.02,1.68,1.48,1.44,1.08,
稀释每股收益,0.76,0.63,0.61,1.02,1.68,1.48,1.44,1.08,
