报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),19455549,14634182,15477328,12342878,10905650,9235552,6890576,4703622,3589412,2298661,1551990,811523,403121,236454,
营业收入(万元),19451384,14630624,15475214,12342878,10905650,9235552,6890576,4703622,3589412,2298661,1551990,811523,403121,236454,
利息收入(万元),3714,2952,2114,--,--,--,--,--,--,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金收入(万元),451,606,--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业总成本(万元),16184546,12249802,13292063,10169693,9122876,7698375,5592355,3705394,2851166,1776775,1177903,626988,317955,170786,
营业成本(万元),13133880,10087242,10988068,8245331,7412257,6265522,4397208,2953680,2364548,1452406,918823,499110,258713,135616,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
研发费用(万元),4095,--,--,--,--,--,--,--,--,--,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业税金及附加(万元),1612237,1245667,1503505,1215691,1114774,952213,812027,507338,358421,253643,154596,83949,31545,15517,
销售费用(万元),591221,386621,354488,273115,240192,218518,164561,125253,80284,59078,46240,25560,16830,10506,
管理费用(万元),349545,284484,226651,187152,172276,157582,122270,75033,57254,45672,31121,20821,10439,7913,
财务费用(万元),258465,239176,223393,232780,127122,98553,89209,39027,-10242,-6617,-3322,-3193,-687,259,
资产减值损失(万元),235104,6612,-4041,15626,56254,5988,7079,5062,900,-27406,30445,742,1114,975,
公允价值变动收益(万元),19042,-59,2365,--,--,--,--,--,--,-19,-115,103,-11,-25,
投资收益(万元),268975,168043,124692,99256,115279,63505,41137,-1819,4200,163,9709,20746,20248,-1329,
对联营企业和合营企业的投资收益(万元),190190,156393,121813,99118,69006,63175,40021,-2018,-1501,--,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业利润(万元),3559264,2552692,2312322,2272441,1898053,1600682,1339357,996409,742446,522030,383681,205385,105403,64313,
营业外收入(万元),36618,32518,31056,25904,16668,18228,18944,15407,3021,19474,19685,35575,144,168,
营业外支出(万元),17851,15265,12321,8269,11539,8741,5089,4407,5009,3599,1038,651,501,227,
非流动资产处置损失(万元),--,--,97,41,119,16,10,459,10,4,4,0,1,1,
利润总额(万元),3578030,2569945,2331057,2290076,1903182,1610170,1353213,1007409,740457,537905,402328,240309,105046,64254,
所得税费用(万元),963116,602225,623752,607304,480046,423723,355353,270689,189930,137132,97961,77482,31652,23148,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
净利润(万元),2614914,1967720,1707305,1682772,1423136,1186446,997860,736720,550528,400773,304367,162827,73395,41106,
归属于母公司所有者的净利润(万元),1890372,1562589,1242155,1234758,1220032,1074716,843823,653095,491998,351923,223886,148909,67146,40033,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
少数股东损益(万元),724542,405131,465150,448014,203105,111730,154036,83625,58529,48850,80481,13918,6249,1073,
基本每股收益,1.59,1.32,1.1,1.15,1.14,1.51,1.18,1.1,1.08,1.06,0.91,1.3,0.66,1,
稀释每股收益,1.59,1.32,1.1,1.15,1.14,1.51,1.18,1.1,1.08,1.06,0.91,1.3,0.66,1,
