报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
营业总收入(万元),535140,712368,228406,222190,298746,430186,245080,188512,139244,
营业收入(万元),535140,712368,228406,222190,298746,428809,244415,188287,139176,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,1377,666,225,68,
营业总成本(万元),511505,680524,213682,216181,290720,422684,239317,183288,136383,
营业成本(万元),480076,642853,195385,184976,265180,384549,217539,168675,127952,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),931,621,721,881,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,1844,774,82,35,
营业税金及附加(万元),1090,1604,1036,6359,9117,13987,8340,6321,4588,
销售费用(万元),1378,1264,696,550,635,469,--,--,13,
管理费用(万元),16863,13724,11262,9611,9647,7221,5193,4232,3598,
财务费用(万元),7096,4848,-333,972,5550,4821,3069,1667,113,
资产减值损失(万元),4072,15609,4916,12832,591,9793,4403,2312,84,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),20972,-38,3762,42,129,-5,12,--,55,
对联营企业和合营企业的投资收益(万元),-64,-70,-33,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),45025,32164,18601,6132,8154,7497,5776,5224,2917,
营业外收入(万元),399,31,395,649,204,596,1016,285,353,
营业外支出(万元),141,135,60,33,70,195,251,131,34,
非流动资产处置损失(万元),--,--,--,--,28,190,1,55,--,
利润总额(万元),45283,32060,18936,6748,8288,7898,6541,5378,3235,
所得税费用(万元),8826,5730,3084,1722,1599,2345,1908,1591,1082,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),36457,26329,15852,5026,6689,5553,4632,3787,2153,
归属于母公司所有者的净利润(万元),35328,24578,14784,4938,6142,4480,4473,3825,2151,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),1130,1751,1069,88,547,1073,159,-38,2,
基本每股收益,0.6,0.42,0.25,0.1,--,--,--,--,--,
稀释每股收益,0.6,0.42,0.25,0.1,--,--,--,--,--,
