报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),134699,121801,83170,57517,
营业收入(万元),134699,121801,83170,57517,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),122807,115605,80143,57084,
营业成本(万元),107566,99524,66008,45025,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),6398,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),684,581,262,221,
销售费用(万元),2205,2309,2215,1798,
管理费用(万元),6036,10693,12375,11000,
财务费用(万元),-82,2042,-1409,-1256,
资产减值损失(万元),--,456,693,295,
公允价值变动收益(万元),--,--,--,--,
投资收益(万元),-557,49,115,97,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),11590,6669,3112,527,
营业外收入(万元),895,269,387,132,
营业外支出(万元),33,4,21,0,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),12453,6934,3477,659,
所得税费用(万元),1418,727,618,311,
未确认投资损失(万元),--,--,--,--,
净利润(万元),11035,6207,2859,348,
归属于母公司所有者的净利润(万元),11039,6197,2998,518,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),-4,11,-139,-170,
基本每股收益,0.88,0.5,0.24,0.05,
稀释每股收益,0.88,0.5,0.24,0.05,
