报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),94678,74783,48786,37656,35775,29893,21431,12836,10438,
营业收入(万元),94678,74783,48786,37656,35775,29893,21431,12836,10438,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),89830,68766,42055,31998,32478,26018,17922,10336,8643,
营业成本(万元),52832,39565,24188,21247,21452,18619,13296,7746,6657,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),3471,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),765,658,479,408,266,268,40,22,21,
销售费用(万元),26538,18979,11809,6326,5779,3415,1363,862,528,
管理费用(万元),6130,7457,5625,4541,3956,3274,3140,1695,1386,
财务费用(万元),-427,1629,-422,-421,191,122,52,-32,49,
资产减值损失(万元),521,478,376,-104,833,319,31,43,3,
公允价值变动收益(万元),-246,--,-74,74,--,-384,21,-28,-406,
投资收益(万元),955,47,123,68,109,417,61,88,80,
对联营企业和合营企业的投资收益(万元),-24,-23,-9,-6,-7,--,--,--,--,
汇兑收益(万元),--,2,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),5837,6312,6781,5801,3406,3909,3591,2560,1469,
营业外收入(万元),1034,976,400,552,409,542,449,172,129,
营业外支出(万元),109,129,244,274,331,296,155,83,61,
非流动资产处置损失(万元),--,--,--,20,3,3,23,44,--,
利润总额(万元),6762,7159,6936,6080,3485,4154,3886,2648,1537,
所得税费用(万元),1003,876,928,994,766,631,957,221,15,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),5759,6283,6008,5086,2719,3523,2929,2428,1522,
归属于母公司所有者的净利润(万元),5759,6283,6008,5086,2719,3523,2929,2229,1444,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,-8,--,--,
少数股东损益(万元),-0,-0,--,--,--,--,-0,198,78,
基本每股收益,0.67,0.95,0.95,0.85,0.45,0.59,0.52,0.47,0.31,
稀释每股收益,0.67,0.95,0.95,0.85,0.45,0.59,0.52,0.47,0.31,
