报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),10700,815,248,168,
营业收入(万元),10700,815,248,168,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),8537,687,206,133,
营业成本(万元),6719,327,181,126,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),948,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),44,6,--,--,
销售费用(万元),401,94,--,--,
管理费用(万元),1137,227,26,6,
财务费用(万元),483,-0,-0,--,
资产减值损失(万元),-1194,33,-1,1,
公允价值变动收益(万元),--,--,--,--,
投资收益(万元),-261,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),1902,128,41,35,
营业外收入(万元),157,0,--,--,
营业外支出(万元),0,1,0,--,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),2059,127,41,35,
所得税费用(万元),398,46,--,9,
未确认投资损失(万元),--,--,--,--,
净利润(万元),1662,81,41,27,
归属于母公司所有者的净利润(万元),1694,45,41,27,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),-33,36,--,--,
基本每股收益,0.09,0,0,0,
稀释每股收益,0.09,0,0,0,
