报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),52486,40395,33023,31097,28854,26095,17089,
营业收入(万元),52486,40395,33023,31097,28854,26095,17089,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),46878,35751,28765,27176,25420,23143,15868,
营业成本(万元),38430,29149,24096,21943,21036,18901,12565,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),3361,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),412,189,239,849,638,649,459,
销售费用(万元),1272,1085,836,789,660,557,449,
管理费用(万元),2928,4682,3395,3231,2852,2423,1687,
财务费用(万元),-58,-151,109,181,289,294,177,
资产减值损失(万元),533,796,90,183,-55,320,531,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),-37,25,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-39,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),6111,4968,4259,3921,3434,2951,1221,
营业外收入(万元),3,0,346,103,74,1,41,
营业外支出(万元),199,58,--,3,4,7,13,
非流动资产处置损失(万元),--,--,--,0,0,7,--,
利润总额(万元),5915,4911,4605,4020,3505,2945,1249,
所得税费用(万元),558,591,699,505,455,333,173,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),5357,4320,3906,3516,3049,2612,1077,
归属于母公司所有者的净利润(万元),5354,4315,3904,3522,3055,2641,1077,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),4,5,2,-6,-6,-28,--,
基本每股收益,0.49,0.52,0.62,0.56,0.51,--,--,
稀释每股收益,0.49,0.52,0.62,0.56,0.51,--,--,
