报告日期,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),3902248,3426415,3365334,
营业收入(万元),--,--,--,
利息收入(万元),--,6258229,5467646,
已赚保费(万元),--,--,--,
手续费及佣金收入(万元),--,841632,766611,
房地产销售收入(万元),--,--,--,
其他业务收入(万元),--,49823,21423,
营业总成本(万元),--,2055739,2026178,
营业成本(万元),--,--,--,
利息支出(万元),--,3819118,2944791,
手续费及佣金支出(万元),--,40292,19102,
房地产销售成本(万元),--,--,--,
研发费用(万元),--,--,--,
退保金(万元),--,--,--,
赔付支出净额(万元),--,--,--,
提取保险合同准备金净额(万元),--,--,--,
保单红利支出(万元),--,--,--,
分保费用(万元),--,--,--,
其他业务成本(万元),--,--,--,
营业税金及附加(万元),--,--,--,
销售费用(万元),--,1118316,998377,
管理费用(万元),--,--,--,
财务费用(万元),--,--,--,
资产减值损失(万元),--,937423,1027801,
公允价值变动收益(万元),--,--,--,
投资收益(万元),--,90539,72534,
对联营企业和合营企业的投资收益(万元),--,--,--,
汇兑收益(万元),--,--,--,
期货损益(万元),--,--,--,
托管收益(万元),--,--,--,
补贴收入(万元),--,--,--,
其他业务利润(万元),--,--,--,
营业利润(万元),1385050,1370676,1339156,
营业外收入(万元),--,--,--,
营业外支出(万元),--,--,--,
非流动资产处置损失(万元),--,--,--,
利润总额(万元),1385050,1370676,1339156,
所得税费用(万元),--,273389,323841,
未确认投资损失(万元),--,--,--,
净利润(万元),1156034,1097287,1015315,
归属于母公司所有者的净利润(万元),1149042,1094975,1015315,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),--,2312,--,
基本每股收益,--,0.57,0.59,
稀释每股收益,--,0.57,0.59,
