报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),146387,133938,143685,102122,108835,85185,82108,67822,
营业收入(万元),146387,133938,143685,102122,108835,85185,82108,67822,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),147673,127740,133012,93024,99309,77829,74010,61513,
营业成本(万元),115740,104434,109283,72504,76592,58945,57387,47982,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),4769,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),2063,1867,1672,1175,1042,862,705,566,
销售费用(万元),2651,2727,2898,2694,3200,2949,3375,2508,
管理费用(万元),18242,17710,16418,15290,14943,12123,10843,8694,
财务费用(万元),3299,942,1579,1905,1961,1866,1844,2522,
资产减值损失(万元),909,58,1163,-545,1571,1085,-143,-760,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),37671,16402,13304,13537,12385,11129,6728,6706,
对联营企业和合营企业的投资收益(万元),14891,14490,12149,12514,12385,11124,6421,6798,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),37533,23379,23977,22635,21910,18485,14826,13016,
营业外收入(万元),740,882,1148,2369,423,1174,2375,2067,
营业外支出(万元),266,35,8,70,37,28,120,279,
非流动资产处置损失(万元),--,--,4,66,28,6,110,109,
利润总额(万元),38008,24226,25117,24934,22296,19631,17081,14805,
所得税费用(万元),4333,1509,2487,2585,2096,1704,2063,1562,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),33676,22716,22630,22349,20200,17927,15018,13242,
归属于母公司所有者的净利润(万元),34008,22759,22630,22349,20200,17927,15012,13210,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,35,38,
少数股东损益(万元),-333,-43,--,--,--,--,6,33,
基本每股收益,1.21,0.81,1.08,1.06,0.96,0.85,0.76,0.74,
稀释每股收益,1.21,0.81,1.08,1.06,0.96,0.85,0.76,0.74,
