报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),239109,138848,126539,69632,
营业收入(万元),239109,138848,126539,69632,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),199725,124673,110223,61522,
营业成本(万元),155382,88774,77923,43362,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),7681,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),828,633,462,210,
销售费用(万元),24646,14501,11702,7772,
管理费用(万元),15667,16947,20504,10015,
财务费用(万元),-4479,3396,-1249,-350,
资产减值损失(万元),--,422,881,513,
公允价值变动收益(万元),-307,--,--,-4,
投资收益(万元),-201,63,142,26,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),35745,15001,16458,8132,
营业外收入(万元),39,6,357,373,
营业外支出(万元),146,131,378,489,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),35638,14876,16438,8016,
所得税费用(万元),6424,3605,4895,2421,
未确认投资损失(万元),--,--,--,--,
净利润(万元),29214,11271,11542,5595,
归属于母公司所有者的净利润(万元),29269,11251,11584,5635,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),-55,20,-42,-40,
基本每股收益,2.6,1.17,1.77,--,
稀释每股收益,2.6,1.17,1.77,--,
