报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),252370,201828,140157,143985,171545,177803,174400,189690,153558,89442,74919,75220,47385,40437,
营业收入(万元),252370,201828,140157,143985,171545,177803,174400,189690,153558,89442,74919,75220,47385,40437,
利息收入(万元),--,--,--,--,--,--,--,0,--,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,0,--,--,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,0,--,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业总成本(万元),244738,209703,154728,168602,178680,190087,192456,193376,158943,98588,76547,63561,41961,37096,
营业成本(万元),217377,185936,129449,135593,152245,161710,161789,163045,136640,78414,60154,48851,33803,30221,
利息支出(万元),--,--,--,--,--,--,--,0,--,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,0,--,--,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,0,--,--,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,0,--,--,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,0,--,--,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,0,--,--,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,0,--,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业税金及附加(万元),2770,2435,1212,705,934,1010,1192,868,665,375,536,522,361,321,
销售费用(万元),7227,7327,6704,7093,6954,6626,5763,8045,5758,4636,3075,3394,2462,1940,
管理费用(万元),10346,9342,10247,13329,13708,13427,13701,12262,9954,8932,7735,6910,3192,1995,
财务费用(万元),4492,3362,4142,4468,4689,5651,8197,6899,5284,5217,4140,3821,2294,2380,
资产减值损失(万元),2526,1301,2974,7415,150,1663,1814,2256,642,1015,907,64,-152,240,
公允价值变动收益(万元),--,--,--,--,--,--,--,0,--,--,--,0,0,0,
投资收益(万元),-780,424,9378,--,--,4987,--,0,--,--,--,0,0,0,
对联营企业和合营企业的投资收益(万元),-913,--,--,--,--,--,--,0,--,--,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,0,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业利润(万元),15169,2423,-5194,-24618,-7134,-7297,-18056,-3686,-5385,-9146,-1628,11659,5425,3341,
营业外收入(万元),871,281,7648,5255,8910,8460,6396,6910,8943,4205,7172,5410,4863,3290,
营业外支出(万元),227,983,318,328,532,286,251,241,226,89,228,66,83,42,
非流动资产处置损失(万元),--,--,69,234,--,0,54,0,0,--,--,0,0,0,
利润总额(万元),15813,1721,2136,-19690,1245,878,-11911,2983,3332,-5030,5316,17002,10204,6589,
所得税费用(万元),475,-140,-31,198,217,269,141,1315,1328,-61,-1686,1,18,0,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
净利润(万元),15338,1861,2167,-19888,1028,608,-12053,1668,2004,-4969,7002,17001,10186,6589,
归属于母公司所有者的净利润(万元),16001,2626,2341,-19483,1141,958,-11688,938,1900,-4995,6751,16879,9468,5658,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-664,-765,-173,-405,-113,-350,-365,729,103,25,251,122,718,931,
基本每股收益,0.3,0.05,0.05,-0.4,0.02,0.02,-0.24,0.02,0.06,-0.16,0.25,0.74,0.52,0.31,
稀释每股收益,0.3,0.05,0.05,-0.4,0.02,0.02,-0.24,0.02,0.06,-0.16,0.25,0.74,0.52,0.31,
