报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),497947,458395,322870,288971,329585,
营业收入(万元),497947,458395,322870,288971,329585,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),478193,437104,309413,280934,324298,
营业成本(万元),460640,420835,295166,268190,309213,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),10016,--,--,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),647,502,416,350,243,
销售费用(万元),3007,2916,2704,2212,2129,
管理费用(万元),1427,8618,8616,7575,7197,
财务费用(万元),2349,3830,1765,2939,5359,
资产减值损失(万元),109,403,745,-333,157,
公允价值变动收益(万元),-35,-38,-8,78,6,
投资收益(万元),706,86,369,-2071,-31,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),20492,21557,13818,6044,5262,
营业外收入(万元),1242,949,429,259,297,
营业外支出(万元),3,5,210,291,463,
非流动资产处置损失(万元),--,--,--,--,--,
利润总额(万元),21730,22501,14036,6013,5096,
所得税费用(万元),3650,4759,2652,776,725,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),18080,17742,11385,5237,4371,
归属于母公司所有者的净利润(万元),18080,17742,11385,5237,4371,
被合并方在合并前实现净利润(万元),--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,
基本每股收益,1.11,1.33,0.89,0.44,0.36,
稀释每股收益,1.11,1.33,0.89,0.44,0.36,
