报告日期,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),195776,145324,126185,116654,
营业收入(万元),195776,145324,126185,116654,
利息收入(万元),0,--,--,--,
已赚保费(万元),0,--,--,--,
手续费及佣金收入(万元),0,--,--,--,
房地产销售收入(万元),0,--,--,--,
其他业务收入(万元),0,--,--,--,
营业总成本(万元),188432,149114,126193,117243,
营业成本(万元),162236,124085,102024,94324,
利息支出(万元),0,--,--,--,
手续费及佣金支出(万元),0,--,--,--,
房地产销售成本(万元),0,--,--,--,
研发费用(万元),0,--,--,--,
退保金(万元),0,--,--,--,
赔付支出净额(万元),0,--,--,--,
提取保险合同准备金净额(万元),0,--,--,--,
保单红利支出(万元),0,--,--,--,
分保费用(万元),0,--,--,--,
其他业务成本(万元),0,--,--,--,
营业税金及附加(万元),764,585,481,515,
销售费用(万元),8217,8703,9653,8726,
管理费用(万元),12284,9812,7645,8281,
财务费用(万元),3963,5706,5292,4888,
资产减值损失(万元),967,223,1097,509,
公允价值变动收益(万元),0,--,--,--,
投资收益(万元),-461,12,166,-124,
对联营企业和合营企业的投资收益(万元),0,84,186,-107,
汇兑收益(万元),0,--,--,--,
期货损益(万元),0,--,--,--,
托管收益(万元),0,--,--,--,
补贴收入(万元),0,--,--,--,
其他业务利润(万元),0,--,--,--,
营业利润(万元),6883,-3778,158,-713,
营业外收入(万元),10693,10841,8441,7652,
营业外支出(万元),4110,318,659,412,
非流动资产处置损失(万元),1699,221,536,383,
利润总额(万元),13466,6744,7940,6527,
所得税费用(万元),4159,1994,441,479,
未确认投资损失(万元),0,--,--,--,
净利润(万元),9307,4750,7499,6048,
归属于母公司所有者的净利润(万元),7432,3478,5098,3646,
被合并方在合并前实现净利润(万元),0,--,--,--,
少数股东损益(万元),1875,1273,2401,2402,
基本每股收益,0.2,0.09,0.13,0.1,
稀释每股收益,0.2,0.09,0.13,0.1,
