报告日期,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),589656,477141,325515,199672,554159,363341,243804,192520,492473,393383,190184,82081,57482,42174,26666,13177,92910,73925,54288,31174,
营业收入(万元),589656,477141,325515,199672,554159,363341,243804,192520,492473,393383,190184,82081,57482,42174,26666,13177,92910,73925,54288,31174,
利息收入(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
营业总成本(万元),363299,269584,177320,108662,306215,183773,106184,48928,199689,131307,69528,31997,74291,48398,30509,14962,98928,80473,59022,32863,
营业成本(万元),191734,142972,101425,75310,169523,98703,54405,29084,114583,77774,38813,21659,48662,36482,23822,12585,86464,70101,52090,29254,
利息支出(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
房地产销售成本(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
研发费用(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
退保金(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
赔付支出净额(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
保单红利支出(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
分保费用(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
其他业务成本(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
营业税金及附加(万元),43087,36024,21137,6079,39879,33562,18522,6257,20218,11949,6054,1940,283,207,105,36,249,176,106,30,
销售费用(万元),71863,54148,31710,16596,38360,14114,8337,2474,12288,8032,5377,2122,3457,2572,1603,633,4436,3491,2557,1108,
管理费用(万元),41857,27033,16302,7682,40396,26817,16963,8619,37115,26351,15019,6064,7866,5414,3400,1453,7668,4739,3411,1689,
财务费用(万元),10961,9035,6368,2980,10866,8045,5012,2494,12884,10210,7146,3230,3535,2342,1579,256,1565,1965,858,781,
资产减值损失(万元),3797,372,377,14,7190,2533,2946,--,2600,-3008,-2882,-3018,10487,1382,--,0,-1454,0,--,--,
公允价值变动收益(万元),-339,32,-292,-75,455,271,286,121,-513,-478,-400,-193,466,438,168,0,111,0,--,--,
投资收益(万元),481,34,26,9472,2539,655,18,-32,4318,1483,3574,1,182,158,151,2,2103,2025,2011,1963,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,0,--,--,--,--,--,46,25,17,3,57,32,20,5,
汇兑收益(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
期货损益(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
托管收益(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
补贴收入(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
营业利润(万元),226500,207624,147929,100407,250939,180493,137923,143681,296590,263081,123830,49892,-16160,-5629,-3524,-1784,-3803,-4522,-2722,275,
营业外收入(万元),60374,54666,35360,17367,44788,39216,38098,17616,36977,21431,14106,2945,845,690,444,103,4034,166,156,3,
营业外支出(万元),6880,4396,3628,161,5917,925,807,119,3289,2848,2508,163,1035,302,129,15,452,112,47,30,
非流动资产处置损失(万元),--,--,--,--,--,--,0,--,2074,--,--,--,136,0,--,0,86,0,--,--,
利润总额(万元),279993,257893,179662,117613,289809,218784,175214,161179,330278,281664,135428,52675,-16350,-5241,-3210,-1695,-221,-4468,-2614,248,
所得税费用(万元),43107,39408,26967,17642,48542,32818,26321,22911,47089,40789,18013,7653,615,0,0,0,-491,46,38,3,
未确认投资损失(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
