报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),963948,635913,233201,1034345,657873,404540,158282,957599,630672,388243,102457,676227,418740,248017,77433,508684,315257,202490,81348,421871,270736,158883,50394,
营业收入(万元),963948,635913,233201,1034345,657873,404540,158282,957599,630672,388243,102457,676227,418740,248017,77433,508684,315257,202490,81348,421871,270736,158883,50394,
利息收入(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
已赚保费(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
房地产销售收入(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,
营业总成本(万元),947552,623759,229367,1018693,645685,395796,155521,932910,622717,381567,101287,664100,413025,243079,76598,503055,311718,199564,80668,415768,267737,156854,49919,
营业成本(万元),875786,577871,213986,951725,604509,368946,143453,872555,581297,356789,91079,619186,382644,224348,68892,460958,284010,181277,72225,379786,242950,141345,43586,
利息支出(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
手续费及佣金支出(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
房地产销售成本(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,
研发费用(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,
退保金(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
赔付支出净额(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
保单红利支出(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
分保费用(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
其他业务成本(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,
营业税金及附加(万元),32477,21061,8083,33558,21566,13254,5191,31868,20789,12811,3518,22212,13553,8103,2455,16516,9846,6312,2525,13522,8613,5123,1656,
销售费用(万元),246,154,73,278,182,123,68,254,196,133,65,221,153,109,58,2246,2188,1421,688,2112,1595,1093,492,
管理费用(万元),17101,11475,5864,22806,15225,10191,5486,20716,16556,9453,5561,15187,12227,7706,3945,18165,13040,9014,4503,17372,12539,7908,3552,
财务费用(万元),22316,13541,1969,8130,4960,3076,1437,5028,3735,2520,1217,5710,4270,2619,1161,3300,2562,1499,729,3067,2169,1457,634,
资产减值损失(万元),-374,-342,-608,2195,-756,205,-114,2489,144,-139,-153,1584,178,193,87,1870,71,42,-1,-90,-129,-72,--,
公允价值变动收益(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
投资收益(万元),604,407,179,4492,428,301,94,-7964,163,111,-48,396,400,348,128,4186,3420,2294,784,3391,3561,2366,712,
对联营企业和合营企业的投资收益(万元),604,407,179,4492,428,301,0,470,--,--,--,316,--,--,--,3483,0,0,0,4536,--,0,--,
汇兑收益(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
期货损益(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,
