报告日期,2019-06-30,2018-12-31,2018-06-30,2017-12-31,
营业总收入(万元),0,7420,0,4144,
营业收入(万元),0,7420,0,4144,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),2010,7265,1965,5021,
营业成本(万元),0,3304,0,1838,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),--,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),26,271,241,96,
销售费用(万元),--,--,--,--,
管理费用(万元),1810,3741,1807,4354,
财务费用(万元),-117,-108,30,131,
资产减值损失(万元),290,58,-113,-1398,
公允价值变动收益(万元),--,--,--,--,
投资收益(万元),--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),-2010,155,-1965,-2157,
营业外收入(万元),--,--,--,29542,
营业外支出(万元),11,130,125,45595,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),-2021,25,-2090,-18211,
所得税费用(万元),-41,-4,28,1102,
未确认投资损失(万元),--,--,--,--,
净利润(万元),-1980,29,-2118,-19313,
归属于母公司所有者的净利润(万元),-1980,29,-2118,-19313,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),--,--,--,--,
基本每股收益,-0.02,0,-0.02,-0.83,
稀释每股收益,0,0,-0.02,-0.83,
