报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),905651,543798,272744,1337308,1017762,702956,338793,1231011,903749,557919,255577,1002300,735680,439885,200593,
营业收入(万元),905651,543798,272744,1337308,1017762,702956,338793,1231011,903749,557919,255577,1002300,735680,439885,200593,
利息收入(万元),0,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
已赚保费(万元),0,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
手续费及佣金收入(万元),0,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
房地产销售收入(万元),0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
其他业务收入(万元),0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
营业总成本(万元),984594,602331,285244,1464891,1070912,711661,336371,1283852,918607,579711,269005,1006381,740860,455911,214474,
营业成本(万元),808126,489796,231704,1251923,925390,627409,299359,1092540,783260,494468,228983,853609,625018,381346,176815,
利息支出(万元),0,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
手续费及佣金支出(万元),0,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
房地产销售成本(万元),0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
研发费用(万元),0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
退保金(万元),0,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
赔付支出净额(万元),0,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
提取保险合同准备金净额(万元),0,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
保单红利支出(万元),0,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
分保费用(万元),0,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
其他业务成本(万元),0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
营业税金及附加(万元),24004,14618,6989,30878,27029,17630,8300,31626,22834,13855,6426,24763,17949,10967,5133,
销售费用(万元),80725,52094,22972,107581,75015,48227,23085,97995,62722,38821,15811,77047,58178,37978,19438,
管理费用(万元),45015,27718,13598,61583,41882,26534,12973,49239,36435,23554,12327,36225,25656,16103,8275,
财务费用(万元),26424,19187,9952,12244,1582,-8128,-7345,10884,13300,8956,5457,14030,14192,9650,4812,
资产减值损失(万元),300,274,28,683,14,-11,--,1567,57,57,0,707,-134,-134,--,
公允价值变动收益(万元),12518,11442,3569,-17246,-1988,--,--,--,0,--,0,--,0,--,--,
投资收益(万元),-7420,-6083,-3606,370,1441,1006,676,1075,654,396,112,1184,892,650,7,
对联营企业和合营企业的投资收益(万元),0,414,--,--,713,--,--,--,352,352,0,--,412,--,--,
汇兑收益(万元),0,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
期货损益(万元),0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
托管收益(万元),0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
补贴收入(万元),0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
其他业务利润(万元),0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
营业利润(万元),-73845,-54529,-12536,-144458,-53697,-7698,3098,-51765,-14204,-21395,-13315,-2897,-4288,-15376,-13874,
营业外收入(万元),50273,48972,15306,10033,4761,4559,17,4662,4050,4048,3997,4646,39,30,21,
营业外支出(万元),521,463,21,268,156,110,45,839,137,128,23,115,89,60,10,
非流动资产处置损失(万元),0,0,--,--,--,--,--,--,0,--,0,--,0,--,--,
利润总额(万元),-24093,-6020,2749,-134693,-49092,-3249,3069,-47942,-10291,-17475,-9342,1634,-4339,-15406,-13864,
所得税费用(万元),1159,2082,151,1540,796,879,415,1815,-317,-936,243,2287,-525,-1663,300,
未确认投资损失(万元),0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,
净利润(万元),-25252,-8101,2598,-136233,-49887,-4128,2655,-49757,-9974,-16539,-9585,-653,-3813,-13743,-14163,
归属于母公司所有者的净利润(万元),-13395,-9129,2627,-124925,-41402,2341,3685,-43512,-5720,-13451,-7805,930,-2713,-13705,-14080,
被合并方在合并前实现净利润(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-11857,1028,-29,-11308,-8485,-6469,-1030,-6245,-4254,-3088,-1780,-1583,-1100,-38,-84,
基本每股收益,-0.12,-0.08,0.02,-1.16,-0.38,0.02,0.03,-0.4,-0.05,-0.12,-0.09,0.01,-0.03,-0.13,-0.13,
稀释每股收益,-0.12,-0.08,0.02,-1.16,-0.38,0.02,0.03,-0.4,-0.05,-0.12,-0.09,0.01,-0.03,-0.13,-0.13,
