报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,
营业总收入(万元),157,79,331,150,133,48,399,276,174,86,358,256,175,94,391,295,206,72,351,290,238,88,383,287,183,95,357,190,188,91,430,335,245,411,294,189,2923,1774,1078,
营业收入(万元),157,79,331,0,133,48,399,276,174,86,358,256,175,94,391,--,206,72,351,--,238,0,383,287,183,0,357,1,1,0,430,82,79,205,172,130,2923,1774,1078,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),157,79,--,150,133,--,--,276,--,86,--,256,175,94,--,295,206,72,--,290,238,88,--,287,183,95,--,189,187,91,--,253,166,207,122,59,--,--,--,
营业总成本(万元),3172,1637,6243,4680,3149,1582,6309,4716,3136,1592,6336,4768,3202,1579,6360,4789,3176,1604,6354,4784,3148,1577,6416,4791,3211,1580,6526,4758,3162,1562,6910,4985,3356,5252,3534,1882,10036,6568,4290,
营业成本(万元),4,1,169,2,1,0,173,3,2,1,179,10,10,10,187,--,8,3,192,--,10,0,195,25,23,0,183,1,1,0,278,77,74,186,165,123,2464,1414,856,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),4,--,--,--,1,0,--,--,--,--,--,10,10,10,--,18,--,--,--,20,10,9,--,25,23,14,--,13,7,3,--,14,9,19,11,8,--,--,--,
营业税金及附加(万元),--,--,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,1,1,0,0,0,0,1,1,1,
销售费用(万元),1,1,--,1,1,1,--,1,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,8,8,6,62,47,35,96,65,40,223,153,100,
管理费用(万元),328,216,380,418,308,161,457,453,295,170,479,499,352,149,496,511,328,182,493,509,298,148,546,511,348,146,660,477,306,133,889,588,399,679,440,275,1263,719,471,
财务费用(万元),2839,1420,5679,4259,2840,1420,5679,4259,2840,1420,5678,4259,2839,1420,5677,4259,2840,1420,5675,4255,2840,1420,5674,4255,2840,1420,5674,4259,2840,1420,5682,4258,2840,4273,2853,1437,5721,4278,2859,
资产减值损失(万元),--,--,3,--,--,--,--,--,--,--,--,--,--,--,-0,--,--,--,-6,--,--,--,1,--,--,--,1,--,--,--,-1,--,--,0,0,--,363,4,4,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,--,--,--,--,--,--,--,10,--,--,--,200,338,338,310,213,206,125,43,39,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-3015,-1558,-5912,-4530,-3016,-1534,-5855,-4440,-2962,-1506,-5978,-4513,-3026,-1485,-5969,-4493,-2970,-1532,-5981,-4495,-2910,-1489,-6032,-4504,-3028,-1485,-6159,-4568,-2973,-1470,-6280,-4313,-2774,-4531,-3028,-1487,-6988,-4751,-3172,
营业外收入(万元),6,5,--,--,0,--,8,7,6,1,--,--,--,0,1,1,1,1,2,2,0,--,--,--,--,--,--,--,--,--,2347,0,0,1,1,1,196,3,3,
营业外支出(万元),--,--,--,--,0,--,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,--,--,0,0,--,--,230,3,2,1,0,0,172,0,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,2,--,--,--,141,--,--,
利润总额(万元),-3008,-1554,-5912,-4530,-3016,-1534,-5847,-4432,-2956,-1505,-5978,-4513,-3026,-1485,-5969,-4492,-2968,-1531,-5979,-4493,-2910,-1490,-6032,-4504,-3028,-1485,-6159,-4568,-2973,-1470,-4164,-4315,-2776,-4532,-3027,-1486,-6964,-4748,-3169,
所得税费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,1,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-3008,-1554,-5912,-4530,-3016,-1534,-5847,-4432,-2956,-1505,-5978,-4513,-3026,-1485,-5969,-4492,-2968,-1531,-5979,-4493,-2910,-1490,-6032,-4504,-3028,-1485,-6159,-4568,-2973,-1470,-4164,-4315,-2776,-4533,-3028,-1487,-6964,-4748,-3169,
归属于母公司所有者的净利润(万元),-3008,-1553,-5906,-4529,-3015,-1533,-5844,-4429,-2956,-1502,-5973,-4508,-3021,-1485,-5968,-4492,-2968,-1531,-5982,-4493,-2910,-1490,-6030,-4503,-3027,-1484,-6153,-4562,-2969,-1468,-4132,-4293,-2764,-4510,-3000,-18,-6864,-4714,-3142,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-0,-0,-6,-1,-1,-1,-3,-3,--,-3,-5,-5,-5,-0,-0,-0,-0,-0,3,-0,-0,-0,-2,-1,-1,-1,-6,-6,-4,-2,-32,-22,-12,-23,-29,-1469,-100,-34,-28,
基本每股收益,-0.1,-0.05,-0.2,-0.16,-0.1,-0.05,-0.2,-0.15,-0.1,-0.05,-0.21,-0.16,-0.1,-0.05,-0.21,-0.15,-0.1,-0.05,-0.21,-0.15,-0.1,-0.05,-0.21,-0.15,-0.1,-0.05,-0.21,-0.16,-0.1,-0.05,-0.14,-0.15,-0.1,-0.16,-0.1,-0.05,-0.24,-0.16,-0.11,
稀释每股收益,-0.1,-0.05,-0.2,-0.16,-0.1,-0.05,-0.2,-0.15,-0.1,-0.05,-0.21,-0.16,-0.1,-0.05,-0.21,-0.15,-0.1,-0.05,-0.21,-0.15,-0.1,-0.05,-0.21,-0.15,-0.1,-0.05,-0.21,-0.16,-0.1,-0.05,-0.14,-0.15,-0.1,-0.16,-0.1,-0.05,-0.24,-0.16,-0.11,
