报告日期,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),434631,292471,142088,363070,234161,106844,
营业收入(万元),433264,292471,142088,357302,234161,106844,
利息收入(万元),0,0,0,0,0,0,
已赚保费(万元),0,0,0,0,0,0,
手续费及佣金收入(万元),0,0,0,0,0,0,
房地产销售收入(万元),0,0,--,0,0,--,
其他业务收入(万元),1366,0,--,5768,0,--,
营业总成本(万元),335071,244693,125980,302761,214762,96972,
营业成本(万元),333517,221568,106310,296822,192408,86382,
利息支出(万元),0,0,0,0,0,0,
手续费及佣金支出(万元),0,0,0,0,0,0,
房地产销售成本(万元),0,0,--,0,0,--,
研发费用(万元),0,0,--,0,0,--,
退保金(万元),0,0,0,0,0,0,
赔付支出净额(万元),0,0,0,0,0,0,
提取保险合同准备金净额(万元),0,0,0,0,0,0,
保单红利支出(万元),0,0,0,0,0,0,
分保费用(万元),0,0,0,0,0,0,
其他业务成本(万元),1554,0,--,5939,0,--,
营业税金及附加(万元),2946,1753,935,1193,1031,407,
销售费用(万元),6987,4600,3266,5662,4012,2025,
管理费用(万元),16843,10650,9463,16670,11020,5004,
财务费用(万元),8917,5712,4433,7921,5354,2865,
资产减值损失(万元),438,392,1573,560,918,288,
公允价值变动收益(万元),0,0,0,0,0,0,
投资收益(万元),31,-19,2,-14,-20,-24,
对联营企业和合营企业的投资收益(万元),31,0,2,-14,0,-24,
汇兑收益(万元),0,0,0,0,0,0,
期货损益(万元),0,0,--,0,0,--,
托管收益(万元),0,0,--,0,0,--,
补贴收入(万元),0,0,--,0,0,--,
其他业务利润(万元),0,0,--,0,0,--,
营业利润(万元),63459,47778,16110,28289,19398,9848,
营业外收入(万元),118,56,46,945,944,65,
营业外支出(万元),1239,605,101,344,190,97,
非流动资产处置损失(万元),615,0,0,0,0,0,
利润总额(万元),62337,47229,16055,28890,20152,9816,
所得税费用(万元),9454,7112,2564,2537,1680,979,
未确认投资损失(万元),0,0,--,0,0,--,
净利润(万元),52883,40117,13492,26353,18472,8837,
归属于母公司所有者的净利润(万元),52879,40115,13492,26358,18478,8837,
被合并方在合并前实现净利润(万元),0,0,--,0,0,--,
少数股东损益(万元),4,2,0,-5,-6,0,
基本每股收益,1.23,0.93,0.31,0.61,0.43,0.21,
稀释每股收益,1.23,0.93,0.31,0.61,0.43,0.21,
