报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),51547,25505,102335,71623,44032,20181,92412,67716,44018,21634,84588,62278,40789,20291,72372,54511,35469,16254,59838,40599,26002,12308,55425,39034,26473,12219,43660,33247,25090,9148,47233,34646,23631,9225,48013,34693,19875,8588,26529,17848,11287,4388,25345,19257,11132,5717,21628,16772,10460,4476,19156,13625,7584,3259,
营业收入(万元),51547,25505,102335,71623,44032,20181,92412,67716,44018,21634,84588,62278,40789,20291,72372,54511,35469,16254,59838,40599,26002,12308,55425,39034,26473,12219,43660,33247,25090,9148,47233,34646,23631,9225,48013,34693,19875,8588,26529,17848,11287,4388,25345,19257,11132,5717,21628,16772,10460,4476,19156,13625,7584,3259,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),48370,24841,95053,67348,41726,20510,85632,63221,40688,20763,83274,60493,39875,19882,74690,55833,36433,16731,62247,41236,25933,11821,53997,38079,26452,11423,41627,31784,23800,8349,45465,32662,20990,8285,45926,33014,18722,7680,25539,17824,10767,4444,25305,19282,11358,5589,19424,14494,8368,3727,4544,15878,8626,4241,
营业成本(万元),43787,22230,85110,60701,37450,17973,76011,58118,37837,19740,76993,57908,38220,18896,68508,52644,34189,15593,55999,38206,23913,10730,46683,32256,21974,10514,37627,29009,21887,7636,41502,29887,19521,7520,42601,30618,17325,7025,22764,15616,9631,3894,21715,16751,9798,4806,16432,12866,7438,3169,18655,12921,6793,3773,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),149,76,295,219,133,62,289,221,171,84,253,41,24,14,123,106,40,12,113,81,39,24,128,111,55,15,139,110,40,8,146,98,39,18,69,55,38,26,114,86,56,30,137,102,61,31,148,105,69,32,132,84,52,27,
销售费用(万元),1200,754,3526,2483,1484,662,1417,741,408,176,602,432,274,120,606,429,317,165,542,383,214,106,480,312,216,100,380,275,191,67,384,228,160,70,335,238,132,59,325,208,143,50,722,527,363,175,693,571,461,99,1014,740,589,282,
管理费用(万元),2920,1260,6130,3535,2305,1105,5653,2549,1619,625,5737,2170,1438,752,5167,2415,1689,881,3413,2399,1658,928,3471,2192,1372,690,3269,2368,1653,591,3218,2260,1142,598,2559,1768,993,517,2300,1870,939,487,2156,1661,1032,552,2423,1588,1084,507,2068,1715,1197,-268,
财务费用(万元),315,520,-429,424,369,708,1683,1591,652,105,-633,-58,-80,101,43,239,196,80,449,170,109,33,457,153,24,103,215,57,61,47,213,232,166,84,336,253,154,54,102,90,41,-17,410,345,209,78,401,247,-18,-65,2972,1289,865,427,
资产减值损失(万元),--,0,420,-15,-15,--,578,1,1,--,324,--,--,--,243,--,--,--,1732,-4,--,--,2777,3054,2810,--,-3,-35,-33,--,2,-42,-37,-4,26,81,81,--,-66,-45,-44,--,165,-104,-104,-52,-673,-883,-664,-15,-20298,-871,-871,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,-0,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,--,--,--,--,--,--,--,--,0,--,7,5,--,--,52,52,33,18,377,116,39,0,1,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
