报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),925974,720513,116190,1710023,442444,333580,134234,1658397,587590,350389,110289,1430045,614727,361913,26206,922224,314874,264105,36568,668425,272999,227294,75803,545268,255857,231721,125712,405005,141626,108367,13581,343777,92434,60940,23875,257360,126912,102014,28264,
营业收入(万元),925974,720513,116190,1710023,442444,333580,134234,1658397,587590,350389,110289,1430045,614727,361913,26206,922224,314874,264105,36568,668425,272999,227294,75803,545268,255857,231721,125712,405005,141626,108367,13581,343777,92434,60940,23875,257360,126912,102014,28264,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
营业总成本(万元),825845,631442,109506,1549362,419767,294844,127529,1446535,512011,297196,104505,1249694,532528,301202,33218,774133,284177,221379,34994,581325,254279,205279,70477,475333,228593,199805,108223,345333,120058,91254,13402,276047,78881,51944,21280,212109,97718,81526,25198,
营业成本(万元),700365,541250,87178,1292450,330953,229920,106542,1191419,413873,235170,80875,1044851,435147,232890,20698,580151,208417,165014,24676,475703,209755,174782,58647,387219,182933,163236,91596,277176,92596,71592,8466,230504,59716,40293,17014,171218,83208,70554,21552,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
营业税金及附加(万元),57873,43986,3762,139079,35948,26486,8903,170220,54482,33527,11524,131066,50715,36963,1966,88196,28724,25156,2719,57815,18370,15284,5217,46157,20767,19176,8577,30731,9587,7324,909,23263,6329,4246,1541,27970,8291,6677,1867,
销售费用(万元),28592,17310,7589,43578,26132,16724,5525,41299,18222,10967,4075,37275,22570,15063,3206,31921,20116,11104,1142,18144,8479,3869,1386,11590,5215,4592,649,12373,4866,3295,813,8190,4327,2708,915,6040,2752,1759,562,
管理费用(万元),33449,23051,10353,43782,24359,17871,6318,37295,24113,17075,6748,34784,22377,15065,6829,27878,19749,14228,5078,23579,14213,8935,3795,17781,11322,6225,2990,15956,10925,7362,2899,12323,8134,4783,1820,6939,3292,2195,989,
财务费用(万元),551,828,623,-3644,-2528,-1060,241,2145,1321,458,1282,1718,1718,1221,519,6113,6137,4842,1379,4825,3463,2410,1431,6898,5408,3574,2721,5202,2082,1680,315,1768,375,-87,-9,-57,174,341,227,
资产减值损失(万元),5016,5016,--,34116,4904,4904,--,4157,--,--,--,--,--,--,--,39873,1034,1034,--,1259,--,0,--,5689,2947,3003,1691,3895,--,0,--,--,--,--,0,--,--,--,0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
投资收益(万元),13284,11559,5102,-79,-398,214,--,-482,398,398,--,-7,481,450,--,5375,5375,375,375,2583,--,0,35,297,299,0,0,128,128,128,--,--,--,0,0,--,-258,-236,-240,
对联营企业和合营企业的投资收益(万元),7556,5857,--,-735,-1389,-776,--,-1142,--,--,--,-511,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
