报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),246751,115010,427360,313090,221435,95323,378931,297736,195849,90057,347352,271531,194965,88989,342013,271673,204521,93210,355901,305331,226955,101091,426403,353029,239046,98601,411588,333747,214028,94513,399583,330331,244289,126322,376687,303415,199983,111362,284652,249271,160183,66653,190870,179463,132171,72047,204633,160772,108808,43419,117459,91316,58016,24580,
营业收入(万元),246751,115010,427360,313090,221435,95323,378931,297736,195849,90057,347352,271531,194965,88989,342013,271673,204521,93210,355901,305331,226955,101091,426403,353029,239046,98601,411588,333747,214028,94513,399583,330331,244289,126322,376687,303415,199983,111362,284652,249271,160183,66653,190870,179463,132171,72047,204633,160772,108808,43419,117459,91316,58016,24580,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,
营业总成本(万元),240168,113061,416391,306858,217450,94084,370810,293194,191974,89364,340035,266333,191838,88775,334324,265421,201173,92797,348745,299137,223470,100641,415692,343881,235277,97918,400389,327798,211113,93927,390858,324292,240948,125434,360016,293917,195390,109844,268389,241783,156767,66012,185655,177244,130988,71244,194790,155388,104498,41666,116066,90082,57095,24287,
营业成本(万元),214810,99835,365274,268658,194184,83072,322614,256416,169549,78514,294288,236015,169442,78626,290931,237381,180955,82478,307395,268001,202659,90572,372218,310834,214376,87592,360114,298028,192576,85034,358332,299503,223810,116238,330558,270120,178877,100554,241129,217549,140428,58263,164694,158600,117391,64338,176609,138077,92499,36811,103931,81298,50972,21518,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,
研发费用(万元),7249,3417,17695,10185,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,
营业税金及附加(万元),1467,825,2499,1832,1293,545,3121,1685,1119,654,1872,604,460,252,1267,819,631,326,1507,1221,815,333,1634,1322,830,366,2008,1327,590,321,774,467,223,16,778,421,379,142,693,592,221,123,622,299,183,69,620,389,172,94,456,235,172,55,
销售费用(万元),8017,3329,14009,12357,6250,2645,12528,10834,5369,3138,12194,8860,5876,3240,10348,7934,6021,3313,8837,9004,5632,2578,9436,10724,5601,3093,8784,9488,5183,2882,8517,6982,5236,3386,10397,6600,6025,3228,7122,7165,5329,2261,3790,3998,3095,1533,4275,5025,3485,1641,3585,3086,1988,1097,
管理费用(万元),6074,3511,12067,9628,12637,6318,26433,19371,12989,5864,27122,17085,13179,5495,26547,16203,11072,5555,26226,16496,10909,5419,27677,15626,9871,4880,21767,12285,7671,3906,15922,11465,7685,4016,13191,10931,6374,4152,12116,9712,6530,3363,9917,8081,5953,3507,7491,6332,4029,1936,5192,3281,2099,1033,
财务费用(万元),2550,1922,3898,3836,2494,1440,5380,4398,2544,1153,4103,3363,2485,1044,5162,2937,1885,1112,4928,4146,2848,1549,4557,4937,3828,1987,7251,6156,4438,1784,7337,5625,3583,1778,4931,5014,3558,1768,4142,5982,3475,2001,6927,6089,4189,1797,4512,3217,1964,935,2241,1897,1368,584,
资产减值损失(万元),--,222,949,362,591,64,734,489,403,40,456,406,396,119,70,147,610,14,-148,269,607,190,170,439,771,--,466,515,655,--,-23,249,409,--,161,830,178,--,3186,783,783,--,-294,177,177,0,1284,2349,2349,250,660,285,496,0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,-3,-3,--,-6,--,--,0,--,--,0,0,0,--,0,0,
投资收益(万元),220,31,415,55,31,13,-91,-21,-12,-8,178,-24,-16,2,168,-42,-37,24,-22,-33,-24,-13,5362,-29,-19,-31,-95,-182,-126,-65,-180,-105,-55,--,-347,-362,-737,-737,-424,-418,-354,--,-7,--,--,0,164,--,0,0,-192,-26,-18,-9,
对联营企业和合营企业的投资收益(万元),--,--,415,55,--,--,-91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,
