报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),3540,2323,31797,30732,29401,23758,90460,61517,41790,20478,81754,56258,43206,19901,83669,60348,41370,18529,90129,64107,45592,20489,81879,62615,40560,17252,96564,74347,56037,29460,85339,69485,45368,23219,24890,14087,5145,67,191,171,123,11,42264,38243,27181,12276,42709,32576,21157,10175,65484,54931,42490,23646,
营业收入(万元),3540,2323,31797,30732,29401,23758,90460,61517,41790,20478,81754,56258,43206,19901,83669,60348,41370,18529,90129,64107,45592,20489,81879,62615,40560,17252,96564,74347,56037,29460,85339,69485,45368,23219,24890,14087,5145,67,191,171,123,11,42264,38243,27181,12276,42709,32576,21157,10175,65484,54931,42490,23646,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,--,--,0,--,--,--,
营业总成本(万元),9981,6558,45635,38543,34198,26712,87437,59011,39458,17630,90470,59711,45888,24026,93108,62302,44299,20316,93240,67608,47689,21257,94653,73886,45785,19516,100423,77083,55663,29294,84554,67983,46414,24307,36319,23276,9097,561,7729,3811,2582,1262,50658,41701,27437,12295,47324,34312,22268,11013,77658,63035,49924,29071,
营业成本(万元),2425,2147,31550,30941,29743,25151,81501,55200,36884,14288,83907,56656,44122,22563,87804,59044,42301,18880,88155,66429,45202,20434,87444,69898,42973,17819,94982,73040,52909,28007,79604,63227,43393,23201,31524,20457,7731,20,105,175,123,11,45898,38275,25008,10970,40520,30760,19978,9810,69780,59956,48377,28130,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,--,--,0,--,--,--,
研发费用(万元),--,--,--,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,--,--,0,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,--,--,0,--,--,--,
营业税金及附加(万元),46,20,120,101,75,28,225,134,97,57,287,151,46,23,7,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,--,0,--,0,0,0,0,0,--,278,278,245,124,208,158,76,0,64,32,0,0,
销售费用(万元),360,259,1086,896,802,306,1901,1305,914,753,2109,1216,757,599,1789,1150,557,469,1626,940,617,340,1727,1127,723,360,1386,856,533,247,1351,1027,686,318,716,489,221,121,445,326,217,113,1085,871,608,344,1067,825,593,347,1300,1087,821,494,
管理费用(万元),6341,3867,9599,5501,2757,634,2387,1810,1259,618,2504,1530,1089,676,2124,1458,1021,606,2080,1625,1194,713,2018,1936,1374,1038,2178,1483,1064,624,1954,2013,1349,401,2185,1395,726,395,7309,3549,2479,1373,2971,1990,1362,743,5032,2275,1425,766,7543,1941,851,482,
财务费用(万元),809,265,3091,1250,996,594,1009,761,504,254,855,625,341,166,937,700,469,361,835,575,457,170,1363,996,785,299,1727,1470,921,416,1614,1144,713,388,1254,935,419,26,-10,-7,-5,-3,-3,287,214,115,48,294,195,91,216,19,-125,-35,
资产减值损失(万元),--,--,188,-174,-174,--,413,-200,-200,1661,808,-467,-467,--,446,-49,-49,--,543,-1961,219,-400,2100,-70,-70,--,150,236,236,--,31,573,273,--,639,--,0,0,-120,-233,-233,-233,429,--,0,0,448,--,0,0,-1246,--,0,0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
