报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
营业总收入(万元),6570,3150,19191,12225,6910,3154,25960,15441,9864,6109,39210,17141,8574,4056,25552,0,0,0,
营业收入(万元),6570,3150,19191,12225,6910,3154,25960,15441,9864,6109,39210,17141,8574,4056,25552,0,0,0,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),6981,3605,18568,12474,7076,3025,24784,15642,10494,6380,36057,16721,9862,4607,23735,27025,10,13,
营业成本(万元),5543,2877,15209,9934,5346,2148,21518,13475,8845,5533,31992,14133,7992,3822,20675,0,0,0,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),43,21,100,66,42,20,147,97,80,9,118,26,22,4,43,--,--,--,
销售费用(万元),191,125,289,342,271,204,345,253,176,80,257,195,113,57,303,--,--,--,
管理费用(万元),840,420,1820,1403,874,426,1625,1138,757,422,2437,1689,1284,493,1934,129,10,13,
财务费用(万元),330,162,763,636,450,231,940,575,508,265,1000,619,401,231,600,26896,0,0,
资产减值损失(万元),--,--,386,93,93,-3,210,105,129,70,253,59,50,--,180,--,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,40,--,--,--,
投资收益(万元),8,1,22,20,15,1,53,116,35,26,181,-23,-29,--,581,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-283,-341,1234,230,249,194,2111,-85,-596,-245,3334,398,-1317,-551,2438,-27025,-10,-13,
营业外收入(万元),17,13,378,129,119,69,408,482,381,59,471,117,27,6,171,21506,--,--,
营业外支出(万元),6,5,329,-34,-76,42,1197,218,216,142,685,18,16,15,18,3354,1,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,80,--,--,--,--,--,--,--,
利润总额(万元),-272,-333,1284,393,444,222,1321,180,-432,-328,3120,497,-1306,-560,2591,-8873,-11,-13,
所得税费用(万元),76,1,-41,-13,-13,0,-30,5,-5,7,-132,32,21,--,86,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-348,-334,1324,406,456,221,1351,175,-426,-335,3252,465,-1327,-560,2505,-8873,-11,-13,
归属于母公司所有者的净利润(万元),-348,-334,1023,61,425,218,1229,103,-415,-274,3283,646,-970,-318,1173,-8873,-11,-13,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-0,-0,302,345,32,3,122,72,-12,-61,-31,-182,-358,-241,1331,--,--,--,
基本每股收益,-0.01,-0.01,0.02,0,0.01,0,0.03,0,-0.01,-0.01,0.07,0.01,-0.02,-0.01,0.03,--,--,--,
稀释每股收益,--,-0.01,0.02,0,--,0,--,--,--,--,0.07,0.01,--,--,--,--,--,--,
