报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,
营业总收入(万元),6149,2811,11886,8184,5016,2356,12617,8903,5958,3076,11745,10228,5398,3647,2999,39431,27261,6570,2613,
营业收入(万元),6149,2811,11886,8184,5016,2356,12617,8903,5958,3076,11745,10228,5398,3647,2999,39431,27261,6570,2613,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),5178,2639,12310,8178,4989,2308,11879,8062,5493,2306,9112,9259,4789,3330,1318,38554,26706,6539,13204,
营业成本(万元),3854,1715,7638,5169,3202,1413,8034,5226,3454,1587,7031,7522,4162,3015,217,38047,26275,6588,2518,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),126,--,280,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),18,15,71,47,31,14,84,58,41,18,66,25,7,2,186,29,59,3,3,
销售费用(万元),298,176,735,481,320,159,764,688,540,170,424,241,64,18,3,--,--,--,--,
管理费用(万元),1166,706,2741,2135,1357,678,2573,1905,1247,509,1719,1416,551,293,710,394,220,58,142,
财务费用(万元),69,27,263,345,77,52,191,99,65,27,48,110,4,0,-93,84,86,-110,10540,
资产减值损失(万元),-354,--,584,2,2,-8,233,86,146,-5,-176,-55,--,--,296,--,66,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,618,--,--,--,--,--,--,--,
投资收益(万元),-6,--,15726,--,109,--,66,--,--,--,--,--,--,--,--,--,--,23,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1016,194,15641,254,310,113,1265,1044,699,769,2633,1587,610,317,1681,877,554,53,-10591,
营业外收入(万元),2,0,37,224,220,32,150,237,155,424,395,143,5,--,227,--,--,20,436640,
营业外支出(万元),1,1,51,1,0,0,23,7,17,2,2,109,0,--,0,0,0,--,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,
利润总额(万元),1017,193,15626,476,530,144,1392,1274,837,1192,3026,1622,615,317,1908,877,554,73,426049,
所得税费用(万元),141,75,2120,20,4,39,327,240,224,31,326,187,84,23,148,134,100,18,11,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),875,119,13506,456,526,105,1066,1034,613,1161,2700,1434,531,294,1761,742,455,55,426038,
归属于母公司所有者的净利润(万元),904,119,14448,740,635,179,1135,1098,629,1025,2584,1434,531,294,1754,742,455,55,426038,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-29,--,-942,-284,-109,-74,-69,-64,-16,136,116,--,--,--,6,--,--,--,--,
基本每股收益,0.02,0,0.36,0.01,0.01,0,0.03,0.03,0.02,0.03,0.06,0.03,0.01,0.01,0.04,0.02,0.01,0,31.72,
稀释每股收益,0.02,0,0.36,0.01,0.01,0,0.03,0.03,0.02,0.03,0.06,0.03,0.01,0.01,0.04,0.02,0.01,0,31.72,
