报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),4917,3406,1787,11475,7797,5265,2921,11717,5071,3375,1574,6438,6223,4042,1923,8028,5582,3315,1566,6701,4927,3202,1605,7248,6008,3888,1893,7150,4947,3203,1558,6196,4428,2886,1423,6864,5085,3426,1680,7039,5175,3356,1643,7770,5832,4019,2055,
营业收入(万元),4917,3406,1787,11475,7797,5265,2921,11717,5071,3375,1574,6438,6223,4042,1923,8028,5582,3315,1566,6701,4927,3202,1605,7248,6008,3888,1893,7150,4947,3203,1558,6196,4428,2886,1423,6864,5085,3426,1680,7039,5175,3356,1643,7770,5832,4019,2055,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,--,--,0,--,--,
营业总成本(万元),5853,3964,1708,10766,7252,5032,2673,10052,6768,4545,2209,15315,7553,5038,2559,8227,6909,4022,2053,9048,6812,4546,2286,8466,6507,4293,2231,7997,6084,3926,1924,8593,5573,3674,1775,8526,6320,4123,2122,7776,5805,3783,1829,14776,5702,3884,1963,
营业成本(万元),3196,2151,1093,7057,4773,3201,1752,4826,2988,1974,971,4404,3281,2118,1022,4019,2961,1851,875,3899,2965,1926,935,4063,2776,1822,899,3510,2627,1698,836,3500,2541,1678,839,3642,2706,1775,883,3382,269,134,66,3436,237,182,98,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,--,--,0,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,--,--,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,--,--,0,--,--,
营业税金及附加(万元),14,11,8,251,190,168,115,936,281,190,89,359,347,227,108,469,331,209,89,375,328,217,104,476,326,209,100,342,230,152,74,288,208,135,67,322,236,163,80,329,239,157,68,358,271,186,94,
销售费用(万元),255,186,99,359,261,166,87,452,289,192,92,383,267,189,101,368,279,171,88,428,316,213,99,358,273,177,79,329,240,151,74,299,218,149,75,354,259,178,84,278,951,631,309,261,1091,996,485,
管理费用(万元),2387,1610,502,3024,1987,1459,675,2840,2004,1322,619,3156,2253,1528,771,2884,2293,1368,671,2774,1963,1304,599,2262,1985,1297,640,2817,2221,1446,703,2678,1911,1242,603,3199,2357,1496,803,2770,3600,2387,1146,3087,3769,2229,1146,
财务费用(万元),7,10,4,15,-13,-11,-7,949,1178,856,433,1866,1409,965,505,1730,1123,582,250,1132,865,596,307,1282,961,632,310,1007,751,463,226,994,678,452,184,969,738,505,262,974,746,474,240,1075,334,291,141,
资产减值损失(万元),-5,-4,2,60,56,49,50,49,28,12,6,5147,-3,10,53,-1243,-78,-160,79,440,375,291,241,26,186,155,204,-7,15,15,11,835,18,19,7,39,23,5,11,44,0,--,0,6559,0,--,0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,14,--,--,--,422,415,415,--,51,998,660,323,1418,0,0,0,2,1,--,--,-51,--,0,--,3,--,0,0,10,0,--,0,--,0,--,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,--,--,0,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,--,--,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,--,--,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,--,--,0,--,--,
营业利润(万元),-936,-557,79,709,545,233,248,1665,-1697,-1170,-635,-8863,-1330,-996,-636,224,-912,-292,-487,-2296,-888,-684,-357,200,-499,-405,-338,-845,-1136,-722,-366,-2448,-1146,-788,-352,-1659,-1235,-697,-443,-726,-630,-427,-186,-7006,130,135,92,
营业外收入(万元),170,210,10,284,201,161,56,35684,191,130,56,251,178,117,56,309,218,--,--,46,7,7,12,76,45,--,--,1243,1,0,--,45,0,0,0,2396,2435,435,435,1003,0,0,0,95,49,6,6,
营业外支出(万元),13,2,--,4,4,--,--,30206,21,13,3,36341,677,670,--,184,40,--,--,30,3,3,2,11,1,--,--,0,0,0,0,1,1,1,--,152,766,3,0,117,12,6,0,6976,14,6,6,
