报告日期,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),199417,124570,204091,130310,81361,59483,
营业收入(万元),199417,124570,204091,130310,81361,59483,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),169406,105747,175366,113152,70809,52388,
营业成本(万元),13010,8228,14658,11735,7781,5298,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),3082,1935,3106,1961,152,13,
销售费用(万元),125452,78212,128977,81082,52579,40246,
管理费用(万元),26679,16616,27802,17618,9812,6576,
财务费用(万元),479,331,688,482,155,93,
资产减值损失(万元),704,425,135,273,330,162,
公允价值变动收益(万元),--,--,--,15,-11,65,
投资收益(万元),--,--,--,-69,-81,212,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),30011,18823,28725,17104,10460,7372,
营业外收入(万元),1428,404,392,1141,396,579,
营业外支出(万元),156,94,302,261,41,33,
非流动资产处置损失(万元),2,--,132,9,23,12,
利润总额(万元),31283,19132,28815,17985,10815,7917,
所得税费用(万元),4628,2896,4609,2816,1381,911,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),26655,16236,24206,15168,9434,7007,
归属于母公司所有者的净利润(万元),26657,16236,24206,15144,9326,6913,
被合并方在合并前实现净利润(万元),--,--,--,90,272,385,
少数股东损益(万元),-2,--,--,24,109,93,
基本每股收益,1.27,0.77,1.15,0.72,0.44,--,
稀释每股收益,1.27,0.77,1.15,0.72,0.44,--,
