报告日期,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),58153,356789,281633,181890,88475,347064,242627,161533,70766,298560,227453,149354,64138,
营业收入(万元),58153,356789,281633,181890,88475,347064,242627,161533,70766,298560,227453,149354,64138,
利息收入(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),75261,385300,281583,181180,91885,343548,239565,160446,71688,325034,228000,151137,67808,
营业成本(万元),66596,347988,259601,165625,83004,310351,216130,144918,64198,272972,210649,138646,63597,
利息支出(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),293,278,558,537,119,964,745,598,288,1101,892,485,84,
销售费用(万元),554,2611,2017,1391,758,2760,1917,1030,424,1642,1184,844,486,
管理费用(万元),6738,22024,17271,12122,6994,23448,18656,12361,5990,19094,13036,9713,2918,
财务费用(万元),1079,4108,2919,1913,1010,3306,2358,1539,788,3074,2239,1450,724,
资产减值损失(万元),--,8292,-783,-407,--,2719,-241,--,0,27152,--,--,0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
投资收益(万元),--,2164,2164,2164,2378,-215,-183,171,0,432,57,57,0,
对联营企业和合营企业的投资收益(万元),--,-213,--,--,--,-1223,--,--,0,376,--,--,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-17108,-26347,2214,2874,-1032,3301,2878,1258,-922,-26042,-491,-1726,-3671,
营业外收入(万元),1,2971,315,32,1162,820,161,76,16,65,19,3,0,
营业外支出(万元),5,9354,8975,8489,35,312,232,39,1,734,276,188,60,
非流动资产处置损失(万元),4,699,--,900,16,250,183,7,0,124,--,--,0,
利润总额(万元),-17112,-32730,-6446,-5583,95,3809,2807,1295,-906,-26711,-747,-1911,-3730,
所得税费用(万元),--,6543,161,161,--,842,638,392,0,-3997,-55,-56,0,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-17112,-39273,-6607,-5744,95,2967,2169,903,-906,-22714,-692,-1855,-3730,
归属于母公司所有者的净利润(万元),-17112,-39273,-6607,-5744,95,2967,2169,903,-906,-22714,-692,-1855,-3730,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,
基本每股收益,-0.23,-0.52,-0.09,-0.08,0,0.04,0.03,0.01,-0.01,-0.3,-0.01,-0.03,-0.05,
稀释每股收益,-0.23,-0.52,-0.09,-0.08,0,0.04,0.03,0.01,-0.01,-0.3,-0.01,-0.03,-0.05,
