报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),95754,47560,216840,162598,107487,48692,219041,162046,113550,56656,249393,169611,112546,53440,230016,172666,116809,58251,300758,232159,164101,79340,307978,234837,154740,77845,309256,235381,161775,84063,324603,251985,175787,86407,305514,230077,157380,78374,230991,171279,111224,50277,297812,234896,157703,73861,249151,190204,124617,58943,224168,167381,107232,54430,
营业收入(万元),95754,47560,216840,162598,107487,48692,219041,162046,113550,56656,249393,169611,112546,53440,230016,172666,116809,58251,300758,232159,164101,79340,307978,234837,154740,77845,309256,235381,161775,84063,324603,251985,175787,86407,305514,230077,157380,78374,230991,171279,111224,50277,297812,234896,157703,73861,249151,190204,124617,58943,224168,167381,107232,54430,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
营业总成本(万元),95136,47594,218250,162984,107719,48912,220633,162887,113741,56599,256783,176659,118208,53619,237320,180053,123384,62399,321721,237674,166429,80990,309268,233502,153167,76433,308170,232391,158886,82092,321170,246120,170479,83122,298272,220016,150556,75598,226924,164063,105745,47891,286019,218195,146927,69579,240890,185090,121079,57856,220507,164319,104146,52610,
营业成本(万元),82585,41213,189103,141925,93975,42751,188661,143546,100420,50550,226488,155967,104360,47454,207948,156204,106851,54445,276768,210996,149049,73265,276114,209662,137588,68893,275250,208831,143346,74775,290223,223585,154978,75664,266263,200066,137497,69408,200808,146840,94348,42354,253281,196081,131994,63398,212691,163750,106409,52503,194057,143817,91363,46735,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,3080,0,0,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
研发费用(万元),596,154,592,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
