报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,
营业总收入(万元),3,7,13,13,9,7,0,0,0,0,85,2,0,0,0,0,0,0,29,22,15,8,29,22,14,7,29,22,14,7,29,22,14,7,23,44,31,3,19,8,3,2,
营业收入(万元),3,7,13,13,9,7,0,0,0,0,85,2,0,0,0,0,0,0,29,22,15,8,29,22,14,7,29,22,14,7,29,22,14,7,23,44,31,3,19,8,3,2,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
营业总成本(万元),7,48,110,121,91,48,574,532,442,94,3510,163,94,46,1196,892,595,297,1232,937,640,346,1323,1026,684,341,450,1030,687,340,297,1071,712,352,1381,1345,891,434,1780,1330,890,443,
营业成本(万元),2,2,4,4,2,2,0,0,0,0,30,0,--,0,22,0,0,0,22,1,1,1,2,1,1,0,2,1,1,1,3,1,1,0,1,0,2,0,4,0,0,0,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
营业税金及附加(万元),--,--,0,0,--,--,--,0,0,0,0,--,--,--,--,--,--,--,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
管理费用(万元),73,47,151,121,91,47,591,542,446,94,3478,163,94,6,111,95,64,31,99,91,60,32,111,85,56,28,111,88,60,26,135,88,57,25,72,95,56,17,109,80,56,27,
财务费用(万元),-68,-1,-46,-4,-2,-1,-15,-10,-5,0,-0,--,--,--,1062,797,531,266,1110,845,579,313,1254,940,627,313,1254,940,627,313,1281,981,654,327,1308,1250,834,417,1667,1250,834,417,
资产减值损失(万元),--,--,0,--,--,--,-1,--,--,--,2,--,--,--,1,--,--,--,-0,--,--,--,-43,--,--,--,-916,--,--,--,-1122,--,--,0,0,0,--,--,--,--,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
投资收益(万元),--,41,81,81,81,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
营业利润(万元),-4,1,-16,-27,-1,1,-574,-532,-441,-94,-3424,-161,-94,-46,-1195,-891,-595,-297,-1203,-914,-625,-338,-1294,-1005,-670,-334,-421,-1009,-673,-332,-268,-1049,-697,-345,-1358,-1301,-860,-432,-1761,-1322,-887,-441,
营业外收入(万元),--,--,--,--,--,--,53980,--,--,--,6,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,4,0,0,--,
营业外支出(万元),--,--,--,0,--,--,1,16,16,16,3,--,--,--,17743,1,1,0,8,8,1,0,2,1,1,0,2,1,1,0,4,3,3,2,16,16,2,1,2,1,1,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
利润总额(万元),-4,1,-16,-27,-1,1,53406,-548,-458,-110,-3421,-161,-94,-46,-18938,-893,-596,-298,-1211,-922,-626,-339,-1296,-1006,-670,-335,-423,-1010,-674,-333,-272,-1052,-700,-347,-1374,-1317,-862,-433,-1759,-1323,-887,-442,
所得税费用(万元),--,--,0,0,0,--,--,--,--,--,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
净利润(万元),-4,1,-16,-27,-1,1,53406,-548,-458,-110,-3440,-161,-94,-46,-18938,-893,-596,-298,-1211,-922,-626,-339,-1296,-1006,-670,-335,-423,-1010,-674,-333,-272,-1052,-700,-347,-1374,-1317,-862,-433,-1759,-1323,-887,-442,
归属于母公司所有者的净利润(万元),-4,1,-16,-27,-1,1,53406,-548,-458,-110,-3440,-161,-94,-46,-18938,-893,-596,-298,-1211,-922,-626,-339,-1296,-1006,-670,-335,-423,-1010,-674,-333,-272,-1052,-700,-347,-1374,-1317,-862,-433,-1759,-1323,-887,-442,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
基本每股收益,-0,-0,-0,-0,-0,0,3.4,-0.04,-0.03,-0.01,-0.22,-0.01,-0.01,-0,-1.21,-0.06,-0.04,-0.02,-0.08,-0.06,-0.04,-0.02,-0.08,-0.06,-0.04,-0.02,-0.03,-0.06,-0.04,-0.02,-0.02,-0.07,-0.05,-0.02,-0.09,-0.08,-0.06,-0.03,-0.11,-0.08,-0.06,-0.03,
稀释每股收益,--,-0,--,-0,--,0,3.4,-0.04,--,-0.01,-0.22,-0.01,--,-0,-1.21,-0.06,-0.04,-0.02,-0.08,-0.06,-0.04,-0.02,-0.08,-0.06,-0.04,-0.02,-0.03,-0.06,-0.04,-0.02,-0.02,-0.07,-0.05,-0.02,-0.09,-0.08,-0.06,-0.03,-0.11,-0.08,-0.06,-0.03,
