报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31,
营业总收入(万元),6584,3944,13182,9110,6341,3887,14053,8267,6359,2628,18643,14606,9433,4290,17370,1159,1723,810,612,
营业收入(万元),6584,3944,13182,9110,6341,3887,14053,8267,6359,2628,18643,14606,9433,4290,17370,1159,1723,810,612,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
营业总成本(万元),5664,3566,9740,7725,5197,3507,10959,6938,5229,2522,15203,12456,7494,3718,14059,8185,8012,7507,7304,
营业成本(万元),3779,2666,7106,5923,3958,2876,8371,5035,3892,1954,11689,9126,5787,3083,11803,930,1721,726,612,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
研发费用(万元),521,411,321,341,165,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
营业税金及附加(万元),27,25,31,38,22,18,38,27,19,12,109,105,98,20,355,1,1,1,2,
销售费用(万元),275,134,501,372,244,104,512,359,244,105,378,227,141,45,157,--,--,1,36,
管理费用(万元),1058,315,1664,1028,775,513,1880,1514,1031,451,3014,3040,1505,558,1749,4138,2581,2647,2585,
财务费用(万元),4,5,-9,-7,-5,-4,-1,1,5,-1,-1,3,9,13,1,3116,3273,2318,3083,
资产减值损失(万元),--,10,126,30,39,--,159,1,38,1,13,-45,-45,--,-7,0,435,1814,986,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,40,40,40,21,4,--,--,0,3365,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
营业利润(万元),1095,393,3640,1568,1144,380,3094,1328,1130,106,3480,2190,1980,594,3315,-7026,-6289,-6697,-3328,
营业外收入(万元),--,--,0,4,59,--,453,81,80,0,59274,21943,86,--,530,230,223,222,173,
营业外支出(万元),--,--,0,0,--,--,0,0,0,0,18269,15868,0,0,7,3,14,259,20,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,1586,--,--,--,1,--,--,0,--,
利润总额(万元),1095,393,3640,1572,1203,380,3547,1409,1210,107,44485,8265,2066,594,3838,-6799,-6080,-6734,-3174,
所得税费用(万元),184,79,558,266,202,71,523,233,203,26,666,524,322,89,576,--,--,0,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
净利润(万元),911,314,3081,1306,1000,309,3024,1176,1007,81,43819,7740,1744,505,3262,-6799,-6080,-6734,-3174,
归属于母公司所有者的净利润(万元),911,315,3086,1309,1001,310,3024,1176,1007,81,43819,7740,1744,505,3262,-6748,-6016,-6674,-3038,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,1390,--,--,--,2971,--,--,--,--,--,0,--,
少数股东损益(万元),--,-1,-5,-3,-1,-1,0,--,--,--,--,--,--,--,--,-51,-65,-60,-136,
基本每股收益,0.01,0,0.04,0.02,0.01,0,0.04,0.01,0.01,0,0.54,0.1,0.02,0.04,0.09,-0.59,-0.53,-0.59,--,
稀释每股收益,0.01,--,--,0.02,0.01,--,--,0.01,0.01,--,--,0.1,0.02,0.04,0.09,--,--,0,--,
