报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,
营业总收入(万元),11009,1731,25215,18912,14110,71,9,21,0,0,0,0,0,0,0,
营业收入(万元),11009,1731,25215,18912,14110,71,9,21,0,0,0,0,0,0,0,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),9837,1515,21274,15555,11586,175,453,377,246,25,2889,568,559,280,1281,
营业成本(万元),8910,1356,19438,14033,10574,54,0,20,0,0,0,0,0,0,0,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,64,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),163,35,327,227,227,0,84,53,53,--,--,--,--,--,--,
销售费用(万元),31,4,92,66,51,--,--,--,--,-53,--,--,--,--,--,
管理费用(万元),616,117,1333,1080,647,139,370,308,196,81,1257,9,--,--,--,
财务费用(万元),117,3,203,234,164,-13,-26,-4,-3,-3,1632,559,559,280,1281,
资产减值损失(万元),-0,--,-183,-84,-79,-6,26,--,--,--,--,--,--,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1172,215,4033,3357,2524,-104,-444,-356,-246,-130,-2889,-568,-559,-280,-1281,
营业外收入(万元),22,1,2,104,103,--,1,--,--,--,100081,--,--,--,--,
营业外支出(万元),37,37,169,7,171,--,0,0,--,--,859,512,512,256,1053,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),1157,179,3866,3454,2455,-104,-444,-356,-246,-130,96333,-1080,-1071,-536,-2334,
所得税费用(万元),185,--,594,475,362,--,-10,--,--,--,10,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),972,179,3272,2979,2094,-104,-434,-356,-246,-130,96323,-1080,-1071,-536,-2334,
归属于母公司所有者的净利润(万元),972,179,3272,2979,2094,-104,-434,-356,-246,-130,96323,-1080,-1071,-536,-2334,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.03,0.01,0.12,0.1,0.07,0.03,-0.02,-0.01,-0.01,3.39,3.39,-0.02,-0.04,-0.02,-0.08,
稀释每股收益,--,--,0.12,--,--,--,-0.02,-0.01,--,--,3.39,--,-0.04,--,-0.08,
