报告日期,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),189170,112638,272080,142347,79808,240652,122503,218413,157757,114796,98464,133724,84906,61160,
营业收入(万元),189170,112638,272080,142347,79808,240652,122503,218413,157757,114796,98464,133724,84906,61160,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),167482,101968,245214,125642,71641,218473,107215,206102,155047,130114,66848,95805,59620,40388,
营业成本(万元),150256,91048,213969,111659,62475,191793,97001,180756,121046,91076,53722,77120,48814,31033,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),596,234,947,490,307,1185,600,1290,1535,878,516,640,235,76,
销售费用(万元),11340,8460,21590,9230,6837,16986,6332,18167,27325,25418,10450,14682,8314,9349,
管理费用(万元),4011,1633,5992,2902,1410,6233,3169,4405,4021,5030,1570,2127,990,635,
财务费用(万元),1279,683,1296,661,620,1883,958,551,1069,2347,482,1034,1202,-10,
资产减值损失(万元),--,-90,1421,700,-7,391,-846,934,51,5365,108,202,65,-695,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,-3,--,--,-10,-7,--,3,66,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),23938,12215,28817,17780,8167,25885,15463,12313,2710,-15251,31616,37919,25286,20772,
营业外收入(万元),304,37,364,120,113,1595,2943,1806,1386,1282,26,460,418,311,
营业外支出(万元),19,16,27,6,5,988,872,171,50,367,51,8,26,9,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,154,--,--,--,--,
利润总额(万元),24223,12236,29154,17893,8275,26491,17534,13947,4045,-14336,31591,38371,25677,21074,
所得税费用(万元),3768,2846,6405,3925,1682,5742,3258,2707,1543,-2844,5257,5003,3082,-19,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),20456,9390,22749,13969,6592,20749,14276,11240,2502,-11492,26335,33368,22595,21094,
归属于母公司所有者的净利润(万元),20089,8868,22487,13817,6109,20270,13967,11300,2502,-11492,26335,33368,22595,21094,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),367,522,262,152,483,479,309,-60,--,--,--,--,--,--,
基本每股收益,0.91,0.42,1.29,0.8,0.35,1.17,0.8,0.68,0.15,-0.7,1.6,4.24,3.69,3.44,
稀释每股收益,0.91,0.42,1.29,0.8,0.35,1.17,0.8,0.68,0.15,-0.7,1.6,4.24,3.69,3.44,
