报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),75720,48985,199563,141237,96685,57927,225440,153348,101240,35668,185391,126981,83474,34864,189321,135683,92029,43083,229334,174062,117302,59280,242938,174486,120756,57590,266778,202156,134996,65558,252965,175343,116707,53997,198148,135787,85571,37712,146975,103895,65547,28420,117491,81045,53318,25352,97433,81395,51500,25707,99056,63152,39614,15054,
营业收入(万元),75720,48985,199563,141237,96685,57927,225440,153348,101240,35668,185391,126981,83474,34864,189321,135683,92029,43083,229334,174062,117302,59280,242938,174486,120756,57590,266778,202156,134996,65558,252965,175343,116707,53997,198148,135787,85571,37712,146975,103895,65547,28420,117491,81045,53318,25352,97433,81395,51500,25707,99056,63152,39614,15054,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),81509,52885,201348,145709,100674,61275,222579,152136,102179,37804,185097,128595,85342,36519,190448,137505,93017,44412,229623,174403,117740,60471,242725,173906,120489,58319,264420,200730,133788,65371,252639,173686,115369,53511,193512,133105,84172,37490,144702,101969,64549,28195,116515,79998,52686,25169,107149,80684,51067,25624,99748,62531,39110,15706,
营业成本(万元),63310,42446,164312,118960,82436,51438,188455,128135,85460,28841,151280,103866,68617,28369,155208,111432,75921,35360,193324,149157,100824,52433,206870,148819,104301,50293,227168,174168,116704,57043,219728,151553,101673,46831,170161,116887,73566,32443,124580,87713,55747,25843,98691,67587,44472,21334,87038,69284,43390,21940,80625,50521,31325,11866,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),3591,2135,7628,5536,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),449,232,1092,760,566,192,1276,790,473,195,1248,647,439,175,1002,713,501,247,860,505,311,172,1216,736,469,239,1311,817,429,216,1001,499,352,200,713,352,214,113,512,303,167,82,482,276,205,131,256,113,63,69,251,204,131,56,
销售费用(万元),7851,4714,15352,11734,7970,4455,15117,11260,7933,4397,15526,11822,8047,4240,16854,12599,8537,4555,17118,12557,8463,4185,16651,12067,8227,4295,17832,13047,8592,4242,15304,10561,6793,3594,10991,7743,5152,2566,8936,6437,3795,1948,7639,5422,3601,1835,7739,5463,3341,1608,6792,4788,3028,1573,
管理费用(万元),4726,2885,8650,6834,8379,4644,14392,10733,7296,4099,14208,10559,6951,3326,14453,10534,6881,3828,13959,9776,6429,3167,14285,10070,6283,3028,13734,9944,6169,3255,12416,8641,5147,2414,9689,6843,4464,2078,7944,5927,3688,1614,7072,4913,3219,1588,7592,5352,4305,1692,7887,5957,3998,1905,
财务费用(万元),1582,474,2254,1647,1020,546,1628,1321,870,273,2130,1617,1125,410,2697,2109,1125,424,3343,2315,1592,514,3297,2183,1149,464,3828,2665,1694,615,3384,2224,1203,473,1866,1259,758,289,1958,1439,1002,316,3085,1959,1369,316,2378,1414,953,315,1875,1332,881,306,
资产减值损失(万元),--,-1,2060,237,303,--,1709,-103,147,-0,704,84,162,--,235,117,52,-0,1021,93,120,--,406,31,59,--,548,89,200,--,804,208,200,--,93,19,19,--,772,150,150,-1609,-455,-158,-179,-35,2147,-941,-984,0,2318,-271,-253,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
投资收益(万元),-44,-71,-309,33,41,-11,34,-85,-62,-30,159,90,92,14,159,179,165,29,453,-7,23,-11,1935,-283,-188,-121,327,292,146,43,1200,506,285,73,294,399,300,127,542,606,511,135,274,217,146,65,87,251,122,53,211,178,56,14,
对联营企业和合营企业的投资收益(万元),-44,-71,-309,33,41,-11,34,-85,-62,-30,159,90,92,14,159,179,165,29,108,-7,23,-11,-319,-292,-186,-129,327,292,146,43,606,498,277,73,259,376,276,104,537,360,266,133,--,217,146,65,--,251,122,53,--,178,56,14,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,0,--,--,-1,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
