报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),549,274,1317,1042,688,335,1225,863,591,347,1107,650,440,220,1059,714,477,240,1107,657,409,200,1077,726,408,208,1556,775,386,205,812,600,324,162,1746,1506,1157,618,3744,2945,1541,646,4938,4084,2316,805,5824,5080,3878,2322,28838,19970,13894,5812,
营业收入(万元),549,274,1317,1042,688,335,1225,863,591,347,1107,650,440,220,1059,714,477,240,1107,657,409,200,1077,726,408,208,1556,775,386,205,812,600,324,162,1746,1506,1157,618,3744,2945,1541,646,4938,4084,2316,805,5824,5080,3878,2322,28838,19970,13894,5812,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,0,--,0,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,0,--,0,--,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,0,--,0,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,0,--,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,0,--,--,--,0,--,--,
营业总成本(万元),218,103,891,679,419,169,746,419,246,48,538,125,81,-83,1039,550,359,203,1352,706,435,204,1845,797,466,246,1942,948,513,289,314,-1108,-374,-421,1744,1280,1375,722,4668,3784,1996,842,7668,5259,3099,1198,8759,4342,4204,1897,45188,21735,14209,5740,
营业成本(万元),54,51,424,379,249,107,450,332,227,167,374,153,102,51,311,154,103,51,605,318,185,92,608,387,191,98,1127,426,198,105,391,257,174,91,1331,1014,792,436,3729,2587,1328,532,5310,3484,2012,789,5001,4508,3384,1989,27970,18708,12293,4813,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,0,--,0,--,0,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,0,--,0,--,0,--,--,
