报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),269372,175186,84967,320752,247105,162176,81399,284956,206992,136729,68201,258878,188508,126441,62969,
营业收入(万元),269372,175186,84967,320752,247105,162176,81399,284956,206992,136729,68201,258878,188508,126441,62969,
利息收入(万元),--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),246052,161110,79122,294656,229336,150725,76750,271306,196646,129518,64382,244475,177850,118936,59159,
营业成本(万元),187069,121008,58098,221827,171319,113600,58108,210235,153308,102130,51207,190298,138016,91336,46096,
利息支出(万元),--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金支出(万元),--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售成本(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
赔付支出净额(万元),--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
提取保险合同准备金净额(万元),--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
保单红利支出(万元),--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
分保费用(万元),--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
其他业务成本(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1497,1073,521,1965,1527,992,445,1477,967,640,301,1314,946,676,325,
销售费用(万元),35387,24355,12897,39451,33994,20945,10194,31250,21631,13248,6684,26130,19502,13898,6775,
管理费用(万元),22530,14828,7491,28050,21524,14370,7495,25227,19769,12693,5929,25455,18635,12462,5887,
财务费用(万元),-566,-273,91,1135,938,790,477,1018,700,435,261,739,487,321,76,
资产减值损失(万元),136,120,24,2227,34,28,32,2099,272,371,0,539,263,244,0,
公允价值变动收益(万元),--,0,--,--,-11,0,3,--,--,--,0,--,--,--,0,
投资收益(万元),55173,55106,55171,9538,8145,6216,3007,10423,8597,5629,1850,7334,4627,3063,1425,
对联营企业和合营企业的投资收益(万元),1603,1560,1536,8050,6606,4754,2057,6891,5255,3104,1457,5400,4156,3025,1576,
汇兑收益(万元),--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
期货损益(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),78493,69182,61015,35634,25903,17667,7658,24072,18943,12840,5668,21737,15285,10568,5235,
营业外收入(万元),1214,643,254,3046,615,291,120,3092,1407,601,106,1325,810,229,119,
营业外支出(万元),381,152,51,1335,967,361,51,823,249,186,64,1278,465,379,56,
非流动资产处置损失(万元),14,14,0,243,76,76,0,103,13,8,0,530,275,255,0,
利润总额(万元),79327,69673,61217,37345,25551,17597,7727,26341,20101,13255,5711,21784,15630,10418,5298,
所得税费用(万元),21715,20676,18714,5164,4606,3361,1403,4874,4475,2880,1401,4202,2748,1646,1175,
未确认投资损失(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),57611,48997,42503,32181,20946,14236,6324,21467,15626,10375,4310,17582,12882,8772,4123,
归属于母公司所有者的净利润(万元),46730,43250,39789,19677,13052,9043,3850,13797,9599,6302,2719,10570,7640,5128,2562,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),10881,5747,2715,12503,7894,5193,2474,7669,6026,4074,1591,7013,5242,3644,1561,
基本每股收益,1.27,1.18,1.08,0.54,0.35,0.25,0.1,0.38,0.26,0.17,0.07,0.29,0.21,0.14,0.08,
稀释每股收益,1.27,1.18,1.08,0.54,0.35,0.25,0.1,0.38,0.26,0.17,0.07,0.29,0.21,0.14,0.08,
