报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,
研发费用(万元),28002,12376,86340,53965,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,
营业税金及附加(万元),72739,28941,139901,96632,61077,24719,138916,101121,62662,30305,75003,40962,22292,9363,54906,38133,25901,11982,51350,35669,24932,11968,66870,49651,32862,16717,81475,64296,29643,17784,57402,37033,20121,9002,20912,14558,9903,3945,16423,11462,6824,3541,12048,7695,4154,1782,7146,4999,3315,1589,4246,3177,1919,985,
销售费用(万元),64227,33931,134009,98149,68242,31279,127015,91413,54207,24623,82149,60641,40470,24829,102784,73860,52597,26125,137927,101099,63847,32017,140817,90922,61067,26343,117518,90586,39673,21205,90047,62974,38647,22185,91586,61981,41502,15316,82877,57785,40859,15117,55979,38117,21933,11952,39261,26107,17613,11011,30114,25256,18708,5513,
管理费用(万元),55528,28388,115841,63032,71708,31178,178430,76637,51732,25638,113237,75058,48206,24243,160087,103632,68869,39134,164301,122175,84777,26272,163863,93293,60110,30932,165040,79235,41719,16010,96458,54161,29032,12817,82057,48580,30003,16412,53393,28152,20825,6225,50197,30328,23245,10323,38006,24993,17635,10826,25936,18965,12300,6229,
财务费用(万元),78107,39131,112826,67485,45189,19580,87199,61352,40594,19467,88443,66196,45908,24697,82718,59863,37485,17933,67896,49594,28832,15986,81736,58912,24235,11565,43383,30162,17491,9052,24022,17462,7533,3601,14364,14119,9554,6456,22242,23088,17848,8841,29001,19365,11256,6090,15658,10052,7522,3361,11220,6872,3908,1107,
资产减值损失(万元),--,--,4182,-33,-33,--,4300,5,5,5,50038,-375,-319,--,14820,-27,3,--,8227,8276,8700,--,1306,--,--,--,-152,-72,3,49,-2589,-4027,-3854,-3196,-5254,-4016,-4618,-2210,1506,201,201,--,7978,4481,4481,-0,2906,142,142,0,601,70,70,0,
公允价值变动收益(万元),4405,1926,2353,18,-88,39,8,8,65,52,-1,146,-13,39,-7,1,134,--,45,45,-77,232,-45,--,--,--,--,--,--,--,4,4,4,-6,9,-4,-28,-2,63,24,24,-2,-77,-3,-3,--,--,--,--,0,--,13,13,0,
投资收益(万元),17841,9753,29571,25867,6352,2057,22094,6149,2738,686,23546,14089,9168,-141,15707,17139,14446,9665,14457,9216,3726,286,3419,953,-1044,-3328,23148,17295,268,247,2398,1217,194,-262,418,1283,361,-91,142,117,50,-11,-7211,-7196,-1387,253,63314,-974,-955,-49,-33,0,0,0,
对联营企业和合营企业的投资收益(万元),16237,9429,8809,8251,4556,730,2306,2517,-254,-1548,-6535,-913,-1113,-1292,1677,3224,1127,31,3967,4783,2168,134,1931,1788,-163,-2107,3411,859,18,--,2132,-45,39,--,257,1150,242,--,22,--,-70,--,170,0,-46,--,-3406,--,--,0,-57,--,--,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,
营业利润(万元),300538,150715,638200,561182,337647,154544,715251,543255,332283,136609,267197,109294,55146,259,33456,80663,51473,39479,349105,278564,215306,132636,464816,397121,279290,137923,838418,743644,392720,190931,666544,564084,364344,160098,641807,493801,316937,148305,384147,255775,149521,63409,379525,224971,102544,39200,183597,93784,61348,27544,91254,54955,32181,17818,
营业外收入(万元),645,483,3907,2101,1091,295,2307,6693,2377,939,9286,5437,4308,1013,7076,2803,1351,522,7352,3109,1083,187,14431,12956,12634,1336,38172,22571,16872,8961,21010,9172,833,705,4218,889,762,52,2026,1134,63,48,2119,236,66,35,644,27,14,9,433,426,165,36,
营业外支出(万元),5895,1471,6015,3484,2585,277,2859,3746,540,116,19996,1926,1761,674,11100,3700,3241,1616,16449,12017,7480,2389,15861,4888,2798,1434,4759,3047,2097,2071,8358,5352,3712,468,14843,10383,9656,2261,4599,3130,341,44,4609,3355,3078,1258,4776,3475,3075,372,2603,1876,663,104,
非流动资产处置损失(万元),--,--,--,--,--,--,--,1325,252,104,18622,461,442,11,6271,645,645,582,1101,441,390,366,8119,340,273,24,623,25,10,--,1557,710,707,--,4413,1927,1866,--,515,--,--,--,1315,0,--,--,2188,--,--,0,1359,--,--,0,
利润总额(万元),295288,149727,636091,559800,336153,154563,714699,546202,334120,137432,256487,112805,57693,598,29432,79766,49582,38385,340007,269657,208909,130434,463386,405190,289127,137824,871832,763168,407494,197821,679196,567904,361465,160336,631182,484307,308044,146097,381574,253779,149243,63413,377036,221852,99532,37978,179464,90335,58288,27181,89084,53505,31684,17749,
所得税费用(万元),63232,32690,118846,98815,63287,33738,143303,108085,59374,30366,43951,23581,11390,-20,4160,22665,18491,8593,63876,39931,32352,16569,70947,59903,41195,21361,139944,119820,61133,30299,101076,87590,54994,23735,95909,77767,48588,23822,56533,36803,20806,13742,67646,35567,16784,6328,21867,14502,9478,4185,14541,8916,5584,2700,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,
净利润(万元),232056,117037,517245,460985,272866,120825,571396,438117,274746,107066,212536,89224,46303,618,25273,57101,31091,29792,276132,229726,176557,113866,392440,345286,247931,116463,731888,643347,346361,167522,578120,480314,306471,136601,535273,406540,259455,122275,325041,216976,128437,49671,309389,186285,82748,31650,157597,75833,48810,22996,74543,44589,26100,15049,
归属于母公司所有者的净利润(万元),191605,98382,413673,389869,230457,99839,492537,376920,232725,88138,198576,85431,45288,2341,9050,39585,17555,22392,225264,191695,149862,103111,344463,305988,217694,103776,662188,582800,320982,152831,549590,454876,294736,131877,505138,392481,252387,122488,314098,211408,125208,46758,311276,188496,83728,32151,153998,73077,47428,22380,71880,42824,25329,14354,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,168093,168093,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
少数股东损益(万元),40451,18655,103572,71116,42409,20986,78859,61198,42021,18928,13960,3793,1015,-1723,16223,17516,13536,7400,50868,38031,26695,10754,47977,39298,30238,12687,69700,60547,25380,14692,28530,25438,11735,4724,30136,14058,7069,-213,10943,5568,3229,2913,-1887,-2211,-980,-501,3600,2757,1382,616,2664,1765,771,695,
基本每股收益,0.59,0.3,1.27,1.2,0.71,0.31,1.51,1.16,0.72,0.27,0.61,0.26,0.14,0.01,0.03,0.12,0.05,0.07,0.69,0.59,0.46,0.32,1.06,0.94,0.67,0.64,4.3,3.88,2.19,1.04,3.75,3.11,2.01,0.9,3.45,2.68,1.72,1.67,4.29,2.89,1.71,0.64,4.25,2.58,1.14,0.44,2.1,2,1.3,0.61,1.96,1.17,0.69,0.39,
稀释每股收益,0.59,--,--,1.2,0.71,--,--,1.16,0.72,0.27,--,--,0.14,0.01,--,--,0.05,0.07,--,0.59,--,--,1.06,0.94,--,--,--,3.88,2.19,1.04,3.75,3.11,2.01,0.9,3.45,2.68,1.72,1.67,4.29,2.89,1.71,0.64,4.25,2.58,1.14,0.44,2.1,2,1.3,0.61,1.96,1.17,0.69,0.39,
